Label,sample_type,CLO_C,CLO_4o,CL_C,CL_4o,UBERON_C,UBERON_4o,BTO_C,BTO_4o,UBERON_t2t,BTO_t2t,CLO_t2t,CL_t2t
pancreatic-islets-F,A,-,CLO_0030238,CL_0008024,CL_0000161,UBERON_0000006,UBERON_0000006,BTO_0000991,BTO_0000127,UBERON_0000006,BTO_0000991,-,-
duodenum fetal donor1 tech_rep2,A,-,CLO_0052613,CL_0002254,CL_0011114,UBERON_0002114,UBERON_0002106,BTO_0000365,BTO_0005483,UBERON_0002114,BTO_0000365,-,-
Fetal_heart,A,-,-,CL_0002494,-,UBERON_0000948,UBERON_0002093,BTO_0000562,BTO_0001618,UBERON_0000948,BTO_0000562,-,-
BA40_brodmann_area_40,A,-,CLO_0000000,CL_0002319,CL_0000789,UBERON_0013573,UBERON_0008939,-,BTO_0004705,UBERON_0013573,BTO_0003978,-,-
Colon smooth muscle,A,-,CLO_0002697,CL_1000280,CL_0000192,UBERON_0004220,UBERON_0001193,-,BTO_0000436,CL_1000280,BTO_0001260,-,-
UCSD_Right_Atrium,A,-,CLO_0002037,CL_0002494,CL_0000746,UBERON_0002078,UBERON_0002087,BTO_0001703,BTO_0001274,UBERON_0002078,BTO_0001703,-,-
thymus,A,-,-,CL_0002293,-,UBERON_0002370,UBERON_0002370,BTO_0001374,BTO_0001404,UBERON_0002370,BTO_0001374,-,-
parietal lobe fetal donor1,A,-,CLO_0000341,CL_0002319,CL_0001040,UBERON_0001872,UBERON_0002729,BTO_0001001,BTO_0000663,UBERON_0001872,BTO_0001001,-,-
heart adult diseased post-infarction donor1,A,-,CLO_0000255,CL_0002494,CL_0002362,UBERON_0000948,UBERON_0000948,-,BTO_0002953,GO_0045823,BTO_0000562,-,-
left ventricle_LV1558,A,-,CLO_0000031,CL_0002494,CL_0010005,UBERON_0002084,UBERON_0002084,BTO_0001629,BTO_0001407,UBERON_0002084,BTO_0001629,-,-
kidney-cortex,A,-,CLO_0000062,CL_1000497,CL_0000649,UBERON_0001225,UBERON_0001225,BTO_0001166,BTO_0001249,UBERON_0001225,BTO_0000671,-,-
left_ventricle,A,-,CLO_0000250,CL_0002494,CL_0000744,UBERON_0002084,UBERON_0002084,BTO_0001629,BTO_0001287,UBERON_0002084,BTO_0001629,-,-
Lateral temporal lobe_6T_AD,A,-,CLO_0000023,CL_0002319,CL_0000104,UBERON_0001871,UBERON_0002750,BTO_0001355,BTO_0003224,UBERON_0001871,BTO_0001355,-,-
Whole blood (ribopure) donor090612 donation1,A,-,CLO_0000031,CL_0000988,CL_0000236,UBERON_0000178,UBERON_0000178,-,BTO_0001574,GO_0008217,BTO_0000089,-,-
testis adult pool2,A,-,CLO_0007922,-,CL_0000451,UBERON_0000473,UBERON_0000473,BTO_0001363,BTO_0001343,UBERON_0000473,BTO_0001363,-,-
Pancreas_Unknown.1_pancreas,A,-,CLO_0002544,-,CL_0000188,UBERON_0001264,UBERON_0001264,BTO_0000988,BTO_0000961,UBERON_0001264,BTO_0000988,-,-
embryonic heart_CS22,A,-,CLO_0008921,-,CL_0000007,UBERON_0000948,UBERON_0005267,-,BTO_0004531,UBERON_0004141,BTO_0000669,-,-
psoas muscle,A,-,CLO_0000111,CL_0000737,CL_0000779,UBERON_0008450,UBERON_0001271,BTO_0001140,BTO_0004785,UBERON_0008450,BTO_0001140,-,-
Placenta_Amnion,A,-,CLO_0037356,-,CL_0002096,UBERON_0001987,UBERON_0000319,-,BTO_0000454,UBERON_0001987,BTO_0001078,-,-
BA40,A,-,CLO_0037284,CL_0002319,CL_0000705,UBERON_0013573,UBERON_0008933,-,BTO_0005734,UBERON_0006481,-,-,-
Stomach Smooth Muscle,A,-,none,CL_0000192,CL_0000187,UBERON_0004222,UBERON_0001135,BTO_0001818,BTO_0000714,UBERON_0004222,BTO_0001818,-,-
caudate nucleus - adult donor10196,A,-,-,CL_0002319,-,UBERON_0001873,UBERON_0001873,BTO_0000211,-,UBERON_0001873,BTO_0000211,-,-
adrenal gland 54y,A,-,none,CL_0000150,none,UBERON_0002369,UBERON_0000044,BTO_0000047,BTO_0000130,UBERON_0002369,BTO_0000047,-,-
left ventricle_DCM_LV1262,A,-,CLO_0001275,CL_0002494,CL_0000740,UBERON_0002084,UBERON_0002084,BTO_0001629,BTO_0000142,UBERON_0002084,BTO_0001629,-,-
Uterus,A,-,-,CL_0002149,-,UBERON_0000995,UBERON_0000995,BTO_0001424,BTO_0001381,UBERON_0000995,BTO_0001424,-,-
left ventricle_LV1215,A,-,CLO_0050274,CL_0002494,CL_0000825,UBERON_0002084,UBERON_0002084,BTO_0001629,BTO_0001104,UBERON_0002084,BTO_0001629,-,-
submaxillary gland adult,A,-,-,CL_0000151,-,UBERON_0001736,UBERON_0001831,BTO_0001316,BTO_0001347,UBERON_0017653,BTO_0001316,-,-
medulla oblongata adult pool1,A,-,CLO_0005004,CL_0002319,CL_0000422,UBERON_0001896,UBERON_0001898,BTO_0000041,BTO_0000657,UBERON_0001896,BTO_0000041,-,-
left ventricle_DCM_LV1072,A,-,CLO_0001134,CL_0002494,CL_0000740,UBERON_0002084,UBERON_0002084,BTO_0001629,BTO_0001243,UBERON_0002084,BTO_0001629,-,-
blood vessels,A,-,-,CL_0000115,CL_0000007,UBERON_0001981,UBERON_0001981,BTO_0001102,BTO_0000077,UBERON_0004537,BTO_0001102,-,-
hN34_organoid,A,-,CLO_0051937,CL_0000083,CL_0000010,UBERON_0001264,UBERON_0000955,-,BTO_0004759,UBERON_0000062,BTO_0005723,-,-
small_intestine_1,A,-,CLO_0000541,CL_0002254,CL_0000451,UBERON_0002108,UBERON_0002108,BTO_0000651,BTO_0000759,UBERON_0002108,BTO_0000651,-,-
Rectal_Mucosa.Donor_31,A,-,CLO:0000763,CL_0002253,CL:0000003,UBERON_0003346,UBERON:0000368,-,BTO:0001491,UBERON_0003346,BTO_0002435,-,-
spinal cord - adult donor10196,A,-,CLO_0002772,CL_0002319,CL_0000100,UBERON_0002240,UBERON_0002240,BTO_0001279,BTO_0000989,UBERON_0002240,BTO_0001279,-,-
Fetal intestine small,A,-,-,CL_0002254,CL_0011100,UBERON_0002108,UBERON_0002107,BTO_0000651,BTO_0000531,UBERON_0002108,BTO_0000651,-,-
Brain_Germinal_Matrix,A,-,-,CL_0002319,CL_0011000,UBERON_0000955,UBERON_0002438,-,BTO_0002633,UBERON_0002283,BTO_0003671,-,-
nucleus accumbens adult pool1,A,-,-,CL_0000540,-,UBERON_0001882,UBERON_0001882,BTO_0001862,BTO_0004690,UBERON_0001882,BTO_0001862,-,-
fetal-kidney-16w,A,-,-,CL_1000497,CL_0011115,UBERON_0002113,UBERON_0001969,BTO_0000671,BTO_0001384,UBERON_0002113,BTO_0000671,-,-
left ventricle_LV1294,A,-,CLO:0001294,CL_0002494,CL:0000731,UBERON_0002084,UBERON:0002084,BTO_0001629,BTO:0001347,UBERON_0002084,BTO_0001629,-,-
breast_epithelium,A,-,CLO_0002369,CL_0002327,CL_0002325,UBERON_0008367,UBERON_0000403,BTO_0001428,BTO_0004080,UBERON_0008367,BTO_0001428,-,-
locus coeruleus - adult donor10196,A,-,CLO_0051466,-,CL_0002609,UBERON_0002148,UBERON_0000960,BTO_0001408,BTO_0004741,UBERON_0002148,BTO_0001408,-,-
body_of_pancreas,A,-,CLO_0009921,CL_0000083,CL_0009078,UBERON_0001150,UBERON_0001264,-,BTO_0000661,UBERON_0001150,BTO_0000988,-,-
Crypt5,A,-,CLO_0050837,CL_0011108,CL_0000990,UBERON_0013485,UBERON_0001155,-,BTO_0004027,UBERON_0035243,BTO_0000305,-,-
Brain Anterior Caudate,A,-,CLO_0002540,CL_0002319,CL_0000930,UBERON_0001873,UBERON_0002771,BTO_0000211,BTO_0000663,UBERON_0028715,BTO_0000496,-,-
cartilage,A,-,CLO_0053558,CL_0000138,CL_0000132,UBERON_0002418,UBERON_0002417,BTO_0000206,BTO_0000458,CL_0000138,BTO_0000206,-,-
pancreas 30y,A,-,CLO_0022652,-,CL_0000188,UBERON_0001264,UBERON_0001264,BTO_0000988,BTO_0001031,UBERON_0001264,BTO_0000988,-,-
Fetal_spinal_cord,A,-,CLO_0037282,-,CL_1001608,UBERON_0002240,UBERON_0013046,BTO_0001279,BTO_0005433,UBERON_0002240,BTO_0001279,-,-
left ventricle_DCM_LV1300,A,-,CLO_0000251,CL_0002494,CL_0002494,UBERON_0002084,UBERON_0002084,BTO_0001629,BTO_0002040,UBERON_0002084,BTO_0001629,-,-
pleural-effusion,A,-,-,-,-,UBERON_0000175,UBERON_0000177,BTO_0003080,BTO_0000607,UBERON_0000175,BTO_0001842,-,-
Fetal_intestine,A,-,CLO_0035739,CL_0002563,CL_0000525,UBERON_0000160,UBERON_0001264,BTO_0000648,BTO_0000765,UBERON_0000160,BTO_0000648,-,-
esophagus-muscularis-mucosa,A,-,-,CL_0002599,CL_0002677,UBERON_0004648,UBERON_0002461,-,BTO_0002763,UBERON_0004648,BTO_0004839,-,-
Brain,A,-,CLO_0050275,CL_0002319,CL_0002581,UBERON_0000955,UBERON_0000955,BTO_0000142,BTO_0000142,UBERON_0000955,BTO_0000142,-,-
Fetal_small_intestine,A,-,CLO_0004033,CL_0002254,CL_0000000,UBERON_0002108,UBERON_0002107,BTO_0000651,BTO_0000485,UBERON_0002108,BTO_0000651,-,-
Fetal Muscle Trunk,A,-,CLO:0007630,CL_0000187,CL:1000490,UBERON_0001774,UBERON:0003833,-,BTO:0001569,UBERON_0001774,BTO_0001493,-,-
UCSD_Aorta,A,-,CLO_0059169,-,CL_0002493,UBERON_0000947,UBERON_0000948,BTO_0000135,BTO_0004398,UBERON_0000947,BTO_0000135,-,-
Lateral temporal lobe_15T_Young,A,-,-,CL_0002319,-,UBERON_0001871,UBERON_0001871,BTO_0001355,-,UBERON_0001871,BTO_0001355,-,-
Stomach_Mucosa,A,-,CLO_0053585,CL_0002180,CL_0002138,UBERON_0001199,UBERON_0001199,-,BTO_0000764,UBERON_0001199,BTO_0001307,-,-
aorta adult pool1,A,-,CLO_0053439,-,CL_0000500,UBERON_0000947,UBERON_0000947,BTO_0000135,BTO_0000659,UBERON_0000947,BTO_0000135,-,-
BA10,A,-,CLO_0050471,CL_0002319,CL_0000850,UBERON_0000955,UBERON_0013503,-,BTO_0002769,UBERON_0006099,BTO_0002196,-,-
Kidney_Unknown.14_kidney,A,-,CLO_0000760,CL_1000497,CL_0000107,UBERON_0002113,UBERON_0002113,BTO_0000671,BTO_0000679,UBERON_0002113,BTO_0000671,-,-
Fetal_Spinal_Cord,A,-,none,-,CL_0002431,UBERON_0002240,UBERON_0003083,BTO_0001279,none,UBERON_0002240,BTO_0001279,-,-
parietal lobe adult donor10252,A,-,CLO_0000471,CL_0002319,CL_0000700,UBERON_0001872,UBERON_0001870,BTO_0001001,BTO_0001160,UBERON_0001872,BTO_0001001,-,-
Brain Hippocampus Middle 150,A,-,CLO_0001535,CL_0002319,CL_0000625,UBERON_0002421,UBERON_0001954,BTO_0000601,BTO_0002375,UBERON_0035970,BTO_0000601,-,-
Crypt3,A,-,CLO_0051066,CL_0011108,CL_0002553,UBERON_0013485,UBERON_0001208,-,BTO_0001559,UBERON_0035243,BTO_0000305,-,-
Left_Ventricle,A,-,CLO_0007104,CL_0002494,CL_0000733,UBERON_0002084,UBERON_0002084,BTO_0001629,BTO_0000678,UBERON_0002084,BTO_0001629,-,-
thymus_2,A,-,CLO_0050673,CL_0002293,CL_0000860,UBERON_0002370,UBERON_0002370,BTO_0001374,BTO_0001370,UBERON_0002370,BTO_0001374,-,-
Duodenum_Smooth_Muscle,A,-,CLO_0002588,CL_1000276,CL_0000187,UBERON_0012488,UBERON_0006566,-,BTO_0001147,CL_1000276,BTO_0001260,-,-
Testis,A,-,CLO_0001307,-,CL_0000451,UBERON_0000473,UBERON_0000473,BTO_0001363,BTO_0000759,UBERON_0000473,BTO_0001363,-,-
somite,A,-,-,-,CL_0000135,UBERON_0002329,UBERON_0002320,BTO_0001558,BTO_0004562,UBERON_0002329,BTO_0001558,-,-
Circle of Willis_60y,A,-,CLO_0000000,-,CL_0000000,UBERON_0003709,UBERON_0002040,-,BTO_0000000,UBERON_0003709,-,-,-
subcutaneous_adipose_tissue,A,-,CLO_0000000,CL_0000136,CL_0000138,UBERON_0002190,UBERON_0001442,BTO_0004042,BTO_0001400,UBERON_0002190,BTO_0004042,-,-
Adrenal Gland,A,-,-,CL_0000150,CL_0000641,UBERON_0002369,UBERON_0002369,BTO_0000047,BTO_0000048,UBERON_0002369,BTO_0000047,-,-
Duodenum Mucosa,A,-,CLO_0000499,CL_1001589,CL_0005011,UBERON_0000320,UBERON_0001156,BTO_0000367,BTO_0000495,UBERON_0000320,BTO_0000367,-,-
Transverse Colon,A,-, ,-,-,UBERON_0001157,UBERON_0001159,BTO_0000272,BTO_0000594,UBERON_0001157,BTO_0000272,-,-
brain adult pool1,A,-,CLO_0050851,CL_0002319,CL_0000101,UBERON_0000955,UBERON_0000955,BTO_0000142,BTO_0000759,UBERON_6003624,BTO_0000142,-,-
kidney fetal pool1,A,-,CLO_0030004,CL_1000497,CL_0010023,UBERON_0002113,UBERON_0004535,BTO_0000671,BTO_0000678,UBERON_0002113,BTO_0000671,-,-
germinal matrix,A,-,CLO_0000190,CL_0002319,CL_1001583,UBERON_0000955,UBERON_0008784,-,BTO_0005636,UBERON_0002283,BTO_0003671,-,-
heart_left_ventricle,A,-,-,CL_0002494,-,UBERON_0002084,UBERON_0002084,BTO_0001629,BTO_0001394,UBERON_0002084,BTO_0000862,-,-
leg_muscle,A,-,CLO_0000848,CL_0000737,CL_0000187,UBERON_0001383,UBERON_0001389,BTO_0000722,BTO_0000704,UBERON_0001383,BTO_0000722,-,-
Thymus,A,-,CLO:0000495,CL_0002293,CL:0000492,UBERON_0002370,UBERON:0002370,BTO_0001374,BTO:0001394,UBERON_0002370,BTO_0001374,-,-
Esophagus_Mucosa,A,-,CLO_0050947,CL_0002252,CL_0000194,UBERON_0002469,UBERON_0002469,BTO_0002859,BTO_0001489,UBERON_0002469,BTO_0002859,-,-
patient-derived_pleaural_effusion,A,-,CLO_0037239,-,CL_0000000,UBERON_0000175,UBERON_0001144,-,BTO_0002042,UBERON_0000175,BTO_0002719,-,-
Fetal_Adrenal_Gland,A,-,CLO_0037247,CL_0000150,CL_0002683,UBERON_0002369,UBERON_0001252,BTO_0000047,BTO_0000943,UBERON_0002369,BTO_0000047,-,-
tibial_artery,A,-,CLO:N/A,-,CL:N/A,UBERON_0007610,UBERON:0002115,-,BTO:N/A,UBERON_0007610,BTO_0000573,-,-
SkeletalMuscle,A,-,CLO_0050847,CL_0000188,CL_0000737,UBERON_0001134,UBERON_0001134,BTO_0001103,BTO_0001108,CL_0000188,BTO_0001103,-,-
Brain_Substantia_nigra,A,-,CLO_0050853,CL_0002614,CL_0000707,UBERON_0002038,UBERON_0002037,BTO_0000143,BTO_0000748,UBERON_0002038,BTO_0000143,-,-
Bladder,A,-,CLO_0002630,CL_1001319,CL_0000193,UBERON_0001255,UBERON_0001255,BTO_0000123,BTO_0000148,CL_1001319,BTO_0000123,-,-
pancreas_37y,A,-,CLO_0000362,-,CL_0000163,UBERON_0001264,UBERON_0001264,BTO_0000988,BTO_0001083,UBERON_0001264,BTO_0000988,-,-
BI_Brain_Anterior_Caudate,A,-,CLO_0050744,CL_0002319,CL_0000692,UBERON_0001873,UBERON_0001873,BTO_0000211,BTO_0000373,UBERON_0028715,BTO_0000496,-,-
Skeletal_muscle,A,-,CLO_0002623,CL_0000188,CL_0000737,UBERON_0001134,UBERON_0001134,BTO_0001103,BTO_0001107,CL_0000188,BTO_0001103,-,-
adrenal gland_37y,A,-,CLO_0050316,CL_0000150,CL_0000182,UBERON_0002369,UBERON_0002369,BTO_0000047,BTO_0000087,UBERON_0002369,BTO_0000047,-,-
Fetal_Intestine_Large,A,-,CLO_0031091,CL_0002253,CL_0000350,UBERON_0000059,UBERON_0001157,BTO_0000706,BTO_0000703,UBERON_0000059,BTO_0000706,-,-
spleen 34y,A,-,CLO_0050797,-,CL_0000529,UBERON_0002106,UBERON_0002106,BTO_0001281,BTO_0001271,UBERON_0002106,BTO_0001281,-,-
Pancreas,A,-,-,-,-,UBERON_0001264,UBERON_0001264,BTO_0000988,BTO_0001148,UBERON_0001264,BTO_0000988,-,-
colon,A,-,CLO_0031961,CL_0011108,CL_0000188,UBERON_0001155,UBERON_0001155,BTO_0000269,BTO_0000720,UBERON_0001155,BTO_0000269,-,-
optic nerve donor1,A,-,CLO_0002385,CL_0002319,CL_0000614,UBERON_0009906,UBERON_0001810,BTO_0000966,BTO_0000511,UBERON_0000941,BTO_0000966,-,-
CytoTrophob_3,A,-,CLO_0037107,CL_0000034,CL_0000701,UBERON_0000319,UBERON_0014798,BTO_0000322,BTO_0000683,UBERON_0000319,BTO_0000322,-,-
fetal heart_PCW17_12570,A,-,CLO_0051232,CL_0002494,CL_0000000,UBERON_0000948,UBERON_0002097,BTO_0000562,BTO_0003135,UBERON_0000948,BTO_0000562,-,-
insula adult pool1,A,-,-,-,CL_0002599,UBERON_0002022,UBERON_0001870,-,-,UBERON_0002022,BTO_0001105,-,-
Fetal_eye,A,-,-,-,CL_0010008,UBERON_0000970,UBERON_0004858,BTO_0000439,BTO_0004754,UBERON_0000970,BTO_0000439,-,-
Aorta,A,-,-,-,-,UBERON_0000947,UBERON_0000947,BTO_0000135,BTO_0000136,UBERON_0000947,BTO_0000135,-,-
prostate adult pool1,A,-,CLO_0007743,-,CL_0000673,UBERON_0002367,UBERON_0002367,-,BTO_0001004,UBERON_0002367,BTO_0001129,-,-
UCSD_Small_Intestine,A,-,CLO_0038651,CL_0002254,CL_0002266,UBERON_0002108,UBERON_0002108,BTO_0000651,BTO_0007277,UBERON_0002108,BTO_0000651,-,-
cerebral meninges adult,A,-,CLO:0000195,CL_0002319,CL:0002530,UBERON_0003548,UBERON:0002427,-,BTO:0000808,UBERON_0010743,BTO_0005010,-,-
Fetal_Intestine_Small,A,-,CLO_0007986,CL_0002254,CL_0002749,UBERON_0002108,UBERON_0002116,BTO_0000651,BTO_0000609,UBERON_0002108,BTO_0000651,-,-
pancreas_54y,A,-,CLO_0002499,-,CL_0002563,UBERON_0001264,UBERON_0001264,BTO_0000988,BTO_0000759,UBERON_0001264,BTO_0000988,-,-
stomach_3y,A,-,CLO_0051436,-,CL_0002062,UBERON_0000945,UBERON_0000945,BTO_0001307,BTO_0000754,UBERON_0000945,BTO_0001307,-,-
Pituitary,A,-,CLO_0000181,CL_0000163,CL_0000702,UBERON_0000007,UBERON_0000007,-,BTO_0001060,UBERON_0000007,BTO_0000427,-,-
transverse colon,A,-,CLO_0000000,-,CL_0000000,UBERON_0001157,UBERON_0001157,BTO_0000272,BTO_0000141,UBERON_0001157,BTO_0000272,-,-
Brain Cingulate Gyrus,A,-,-,CL_0002319,[],UBERON_0002967,UBERON_0002727,BTO_0003976,BTO_0001377,UBERON_0002967,BTO_0003976,-,-
endometrium,A,-,CLO_0007374,CL_0002149,CL_0000194,UBERON_0001295,UBERON_0001295,BTO_0001422,BTO_0000424,UBERON_0001295,BTO_0001422,-,-
limb,A,-,-,-,-,UBERON_0002101,UBERON_0002101,BTO_0001492,-,UBERON_0002101,BTO_0001492,-,-
Brain hippocampus middle,A,-,CLO:0001465,CL_0002319,CL:0000175,UBERON_0002421,UBERON:0001954,BTO_0000601,BTO:0004704,UBERON_0035970,BTO_0000601,-,-
UCSD_Ovary,A,-,CLO_0009345,-,CL_0002327,UBERON_0000992,UBERON_0000992,BTO_0000975,BTO_0001016,UBERON_0000992,BTO_0000975,-,-
Skeletal_Muscle_Male,A,-,CLO_0002499,CL_0000188,CL_0000188,UBERON_0001134,UBERON_0001136,-,BTO_0001102,CL_0000188,BTO_0001103,-,-
psoas-muscle_3y,A,-,-,CL_0000737,-,UBERON_0008450,UBERON_0001371,BTO_0001140,BTO_0001197,UBERON_0008450,BTO_0001140,-,-
Artery_Tibial,A,-,CLO_0000000,-,CL_0000740,UBERON_0007610,UBERON_0003516,-,BTO_0001342,UBERON_0007610,BTO_0000573,-,-
Fetal_stomach,A,-,CLO_0007673,-,CL_0002010,UBERON_0000945,UBERON_0002106,BTO_0001307,BTO_0001243,UBERON_0000945,BTO_0001307,-,-
