Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
Left_Ventricle_adult,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,adult
Artery_Coronary,A,-,-,-,-,coronary artery,coronary artery,coronary artery,coronary artery
pancreas,A,-,-,-,-,pancreas,pancreas,pancreas,pancreas
Circle of Willis_54y,A,-,-,-,-,circle of Willis,circle of Willis,-,-
left ventricle_LV1200,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
left ventricle_DCM_LV1033,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
transverse colon_54y,A,-,-,-,-,transverse colon,transverse colon,colon transversum,colon transversum
forebrain,A,-,-,neural cell,-,forebrain,forebrain,forebrain,forebrain
Fetal adrenal gland,A,-,-,glandular secretory epithelial cell,-,adrenal gland,adrenal gland,adrenal gland,adrenal gland
UCSD_Lung,A,-,-,epithelial cell of lung,-,lung,lung,lung,lung
heart adult pool1,A,-,-,cardiocyte,-,heart,heart,-,adult
embryonic-kidney,A,-,cell line cell culturing,kidney cell,-,embryo,kidney,embryonic kidney cell line,embryonic kidney cell line
small intestine fetal donor1,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
small intestine 30y,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
lung_3y,A,-,-,epithelial cell of lung,-,lung,lung,lung,lung
hippocampus,A,-,-,neural cell,-,brain,hippocampal formation,hippocampus,hippocampus
ductus deferens adult,A,-,-,duct epithelial cell,-,vas deferens,vas deferens,vas deferens,vas deferens
stomach_30y,A,-,-,-,-,stomach,stomach,stomach,stomach
brain-prefrontal-cortex,A,-,-,neural cell,-,prefrontal cortex,prefrontal cortex,prefrontal cortex,brain
left ventricle_DCM_LV1290,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
Adrenal_Gland,A,-,-,glandular secretory epithelial cell,-,adrenal gland,adrenal gland,adrenal gland,adrenal gland
Left_ventricle,A,-,cell line cell culturing,cardiocyte,cell,heart left ventricle,heart left ventricle,left ventricle,"tissues, cell types and enzyme sources"
large intestine,A,-,-,epithelial cell of large intestine,-,large intestine,large intestine,large intestine,large intestine
cerebellum - adult donor10196,A,-,-,neural cell,-,cerebellum,cerebellum,cerebellum,cerebellum
spinal cord fetal donor1,A,-,-,neural cell,-,spinal cord,spinal cord,spinal cord,spinal cord
Pancreatic islets,A,-,cell line cell,pancreatic endocrine cell,obsolete immortal cell line cell,islet of Langerhans,feather,pancreatic islet,colorectal adenocarcinoma cell
brain_1,A,-,-,neural cell,-,brain,brain,brain,brain
medial frontal gyrus - adult donor10196,A,-,-,neural cell,-,middle frontal gyrus,middle frontal gyrus,middle frontal gyrus,adult
Brain angular gyrus,A,-,-,neural cell,-,angular gyrus,angular gyrus,cerebral gyrus,cerebral gyrus
right ventricle 3y,A,-,-,cardiocyte,-,heart right ventricle,heart right ventricle,right ventricle,right ventricle
adipose-tissue,A,-,-,adipocyte,-,adipose tissue,adipose tissue,adipose tissue,adipose tissue
bladder adult pool1,A,-,-,bladder cell,-,urinary bladder,urinary bladder,bladder,bladder
ascending_aorta,A,-,-,-,-,ascending aorta,ascending aorta,aorta,aorta
Rectal_Smooth_Muscle,A,-,-,enteric smooth muscle cell,-,rectum smooth muscle tissue,rectum smooth muscle tissue,muscle,muscle
left ventricle,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
hT85_organoid,A,-,cell passageble capability,epithelial cell of pancreas,cell,pancreas,organ,-,"tissues, cell types and enzyme sources"
Colon_Crypt_3,A,-,colon,colon epithelial cell,-,crypt of Lieberkuhn of colon,crypt of Lieberkuhn of colon,crypt,crypt
Glomerulus,A,-,-,glomerular cell,-,renal glomerulus,renal glomerulus,renal glomerulus,renal glomerulus
Brain Substantia Nigra,A,-,-,neuron of the substantia nigra,-,substantia nigra,substantia nigra,substantia nigra,substantia nigra
HS-SY-2Monophasic_synovial_sarcoma,CL,RCB2231 cell,cell line cell culturing,synovial cell,cell,synovial bursa,organ part,HS-SY-2 cell,zona fasciculata
22Rv1_delSite4_Clone22/23-F8,CL,22Rv1 cell,22Rv1 cell,epithelial cell of prostate,-,prostate gland,processual entity,CWR22-Rv1 cell,-
lymphoma malignant hairy B-cell cell line:MLMA,CL,MLMA cell,MLMA cell,B cell,B cell,blood,-,B-lymphocyte,B-lymphocyte
lncaparmo-ar-dht1nm,CL,LNCAP cell,immortal zebra fish cell line cell,epithelial cell of prostate,primary cultured cell,prostate gland,organism substance,LNCaP cell,bladder
Loucy,CL,Loucy cell,Loucy cell,T cell,-,blood,-,-,-
TE7_1,CL,TE7 cell,TE7 cell,squamous epithelial cell,-,esophagus,-,-,-
A-673-clone-Asp114,CL,A673 cell,A673 cell,muscle cell,-,muscle structure,-,A-673 cell,-
small cell gastrointestinal carcinoma cell line:ECC10,CL,RCB0983 cell,RCB0983 cell,epithelial cell of stomach,cell,stomach,-,carcinoma cell line,carcinoma cell line
H1 hESC-derived neural progenitor cells_Smad_6hr,CL,-,human embryonic stem cell line cell,neural progenitor cell,-,embryo,organ part,-,-
HUCCT1,CL,RCB1960 cell,RCB1960 cell,duct epithelial cell,-,bile duct,-,HuCCT-1 cell,-
VCaP_prostate_carcinoma_SH3_DHT,CL,VCaP cell,VCaP cell,epithelial cell of prostate,-,prostate gland,prostate gland,VCaP cell,prostate gland
A-673_clone_Asp114_Ewing_sarcoma,CL,A673 cell,A673 cell,muscle cell,-,muscle structure,-,A-673 cell,dental follicle
hMSC-TERT,CL,-,immortal frog cell line cell,mesenchymal stem cell,brush border epithelial cell,bone marrow,anatomical space,-,abdomen
LNCaP_prostate_carcinoma_ETOH_SHCTR,CL,LNCAP cell,LNCAP cell,epithelial cell of prostate,-,prostate gland,prostate gland,LNCaP cell,prostate gland
FLP76_embryonic_kidney,CL,-,-,kidney cell,-,kidney,kidney,-,kidney
HEK293T,CL,HEK293T cell,HEK293T cell,kidney epithelial cell,-,kidney,-,HEK-293T cell,-
GM15510,CL,GM15510 cell,GM15510 cell,B cell,-,blood,-,-,-
HeLaS3,CL,HeLa S3 cell,immortal frog cell line cell,epithelial cell of cervix,cell,uterine cervix,organ subunit,HeLa-S3 cell,bladder
mesothelioma cell line:NCI-H28,CL,NCI-H28 cell,NCI-H28 cell,epithelial cell of lung,-,lung,-,mesothelioma cell line,mesothelioma cell line
H9 derived neuronal progenitor cultured cells,CL,-,immortal plasma cell line cell,neural progenitor cell,platelet,nervous system,mucosa of lower lip,-,brain
HeLa-S3_Cervical_Carcinoma,CL,HeLa S3 cell,HeLa S3 cell,epithelial cell of cervix,-,uterine cervix,-,HeLa-S3 cell,-
iPS DF 19.11 Cells,CL,human induced pluripotent stem cell line cell,immortal hybrid cell line cell,pluripotent stem cell,epithelial cell,-,chitin-based cuticle,-,"culture condition:1,4-dichlorobenzene-grown cell"
A549_ethanol_1h,CL,A549 cell,A549 cell,epithelial cell of lung,-,lung,-,A-549 cell,-
BJ/ET,CL,BJ cell,cell culture growth mode,foreskin fibroblast,primary cultured cell,prepuce of penis,obsolete cell part,BJ cell,bladder
A549 DMSO,CL,A549 cell,A549 cell,epithelial cell of lung,-,lung,-,A-549 cell,-
IMR90_lung_fibroblasts_DMSO,CL,IMR-90 cell,IMR-90 cell,fibroblast of lung,-,lung,lung,IMR-90 cell,lung
HCT116 TP53-/-_Nutlin3A,CL,HCT 116 cell,HCT 116 cell,colon epithelial cell,-,colon,processual entity,HCT-116 cell,-
GM18507,CL,GM18507 cell,GM18507 cell,B cell,-,blood,-,-,-
HUVECs_TNF0min,CL,HUV-EC-C cell,immortal zebra fish cell line cell,endothelial cell of umbilical vein,macrophage,umbilical cord,forelimb wing,HUVEC cell,colorectal adenocarcinoma cell
NB69,CL,RCB0480 cell,RCB0480 cell,neuroblast (sensu Vertebrata),-,brain,-,NB-69 cell,-
PATU8988S_GFP_DOX,CL,PA-TU-8988S cell,immortal mesenchymal cell line cell,epithelial cell of pancreas,primary cultured cell,pancreas,multicellular organism,Patu-8988 cell,coronary artery
COLO320-DM_DMSO,CL,COLO-320 cell,immortal multinucleate cell line cell,colon epithelial cell,neuron associated cell (sensu Vertebrata),colon,endoneurium,Colo-320 cell,bladder
gm12891,CL,GM12891 cell,GM12891 cell,B cell,-,blood,-,-,-
293Trex_B4Nflag_7h,CL,HEK293-T-REx cell,immortal myofibroblast cell line cell,kidney epithelial cell,obsolete immortal cell line cell,kidney,obsolete villus,T-REx 293 cell,diencephalon
PANC1_2,CL,PANC-1 cell,adherent on feeder cells cell line culturing,type B pancreatic cell,primary cultured cell,pancreas,blastopore,PANC-1 cell,"culture condition:1,4-dichlorobenzene-grown cell"
CHL-1,CL,CHL-1 cell,CHL-1 cell,epidermal melanocyte,-,skin epidermis,-,CHL-1 cell,-
hESC-1_Embryonic_stem_cells_WNT3A,CL,Line H1 cell,human embryonic stem cell line cell,embryonic stem cell,-,embryo,-,hESC cell,stem
FLP76,CL,-,immortal muscle precursor cell line cell,kidney cell,phagocyte,kidney,obsolete adductor muscle,-,bladder
iPS-15b,CL,-,cell line cell,pluripotent stem cell,obsolete immortal cell line cell,-,naris,-,"culture condition:2,5-dihydroxybenzoate-grown cell"
MKN28,CL,MKN28 cell,MKN28 cell,epithelial cell of stomach,-,stomach,-,MKN-28 cell,-
MCF10A_low,CL,MCF 10A cell,MCF 10A cell,mammary gland epithelial cell,-,breast,-,MCF-10A cell,-
RPMI-8402_T_acute_lymphoblastic_leukemia,CL,RPMI-8402 cell,RPMI-8402 cell,T cell,-,blood,anatomical structure,RPMI-8402 cell,cartilage
Kelly_shB4_Res,CL,KELLY cell,KELLY cell,neuroblast (sensu Vertebrata),-,brain,reticuloendothelial system,KELLY cell,-
LS174T_colon_adenocarcinoma_BI8622,CL,LS174T cell,LS174T cell,colon epithelial cell,-,colon,colon,LS-174T cell,colon
ME-1_DMSO_6h,CL,ME-1 cell,ME-1 cell,myeloid cell,-,blood,-,-,-
HSMM Skeletal Muscle Myoblasts Cells,CL,immortal human skeletal muscle-derived myoblast cell line cell,-,myoblast,-,muscle structure,muscle structure,-,skeletal muscle
GM18486,CL,GM18486 cell,GM18486 cell,B cell,-,blood,-,-,-
GLC16,CL,-,immortal skeletal muscle cell line cell,epithelial cell of lung,obsolete immortal cell line cell,lung,major vestibular gland,-,male reproductive system
hESC,CL,human embryonic stem cell line cell,human embryonic stem cell line cell,embryonic stem cell,-,embryo,-,embryonic stem cell,-
CLB-BER-Lud,CL,-,suspension with feeder cells cell line culturing,neuroblast (sensu Vertebrata),primary cultured cell,nervous system,multicellular organism,-,culture condition:4-(methoxymethyl)phenol-grown cell
NUT,CL,-,immortal stratified epithelial cell line cell,male germ cell,obsolete native cell,testis,immaterial anatomical entity,-,carpel
GM18526,CL,GM18526 cell,GM18526 cell,B cell,-,blood,-,-,-
IMR90_#2,CL,IMR-90 cell,IMR-90 cell,fibroblast of lung,-,lung,-,IMR-90 cell,-
HFF-Myc,CL,-,cell line cell,foreskin fibroblast,obsolete immortal cell line cell,prepuce of penis,naris,-,"culture condition:2,5-dihydroxybenzoate-grown cell"
