Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
PANC1_2,CL,CLO_0008381,CLO_0000471,CL_0000169,CL_0000000,UBERON_0001264,UBERON_0000000,BTO_0000304,BTO_0000704
CHL-1,CL,CLO_0002420,CLO_0003896,CL_2000000,CL_0000000,UBERON_0001003,UBERON_0000000,BTO_0004061,BTO_0000560
Renal Proximal Tubular Epithelial Cell donor2,CT,-,CLO_0000278,CL_0002306,CL_0000062,UBERON_0008404,UBERON_0001913,BTO_0006154,BTO_0003673
cervical-cancer_KDM5C,CT,-,CLO_0008915,CL_0002535,CL_0000000,UBERON_0000002,UBERON_0000000,-,BTO_0000962
hESC-1_Embryonic_stem_cells_WNT3A,CL,CLO_0037281,CLO_0007911,CL_0002322,CL_0002322,UBERON_0000922,UBERON_0000104,BTO_0006080,BTO_0003131
FLP76,CL,-,CLO_0006376,CL_1000497,CL_0000236,UBERON_0002113,UBERON_0000001,-,BTO_0004745
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells,CT,-,CLO_0008546,CL_0002540,CL_0000134,UBERON_0002371,UBERON_0002371,-,BTO_0002775
ILC1,CT,-,CLO_0037297,CL_0001067,CL_0000931,UBERON_0002405,UBERON_0000013,-,BTO_0004759
Naive_Treg,CT,-,CLO:0000750,CL_0002677,CL:0000815,UBERON_0002370,UBERON:0000000,-,BTO:0000000
Lung cancer-derived Cell Lines,CT,-,CLO_0000099,CL_0000082,CL_0002607,UBERON_0002048,UBERON_0002048,BTO_0000762,BTO_0003197
iPS-15b,CL,-,CLO_0007136,CL_0002248,CL_0002322,-,UBERON_0000468,-,BTO_0002987
"CD8-positive, alpha-beta T cell",CT,-,CLO_0050130,CL_0000625,CL_0000625,UBERON_0002405,UBERON_0000029,BTO_0000289,BTO_0000218
MPNST007_PRC2 WT,CT,-,CLO_0037229,-,CL_0002138,UBERON_0001021,UBERON_0002190,BTO_0005316,BTO_0005424
Excitatory_neur_cerebrum_6,CT,-,CLO_0050844,CL_0000540,CL_0002603,UBERON_0000955,UBERON_0001890,-,BTO_0000964
V457,-,-,CLO_0050697,CL_0011108,CL_0000272,UBERON_0001155,UBERON_0002484,-,BTO_0002754
Club-A,CT,-,CLO_0038107,CL_0000158,CL_0002068,UBERON_0002048,UBERON_0001981,-,BTO_0004759
MKN28,CL,CLO_0037142,CLO_0007786,CL_0002178,CL_0000000,UBERON_0000945,UBERON_0000000,BTO_0002381,BTO_0000915
MCF10A_low,CL,CLO_0007599,CLO_0002871,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,BTO_0001939,BTO_0000279
fibroblast_of_pulmonary_artery,CT,-,CLO_0002490,CL_0002557,CL_0002547,UBERON_0002012,UBERON_0002031,-,BTO_0000556
GMP_BM1214,CT,-,CLO_0051507,CL_0000557,CL_0000236,UBERON_0002371,UBERON_0002371,-,BTO_0000999
body-of-pancreas,A,-,None,CL_0000083,None,UBERON_0001150,UBERON_0013682,-,BTO_0001863
Glioblastoma Cell Lines,CT,-,CLO_0008001,CL_0000125,CL_0000051,UBERON_0001017,UBERON_0000955,BTO_0001530,BTO_0001121
RPMI-8402_T_acute_lymphoblastic_leukemia,CL,CLO_0009857,CLO_0002880,CL_0000084,CL_0000236,UBERON_0000178,UBERON_0002405,BTO_0001880,BTO_0001194
Kelly_shB4_Res,CL,CLO_0007091,CLO_0050996,CL_0000031,CL_0000000,UBERON_0000955,UBERON_0000000,BTO_0006213,BTO_0001343
CD4_TH1_DMSO,CT,-,CLO_0037290,CL_0000545,CL_0002061,UBERON_0002405,UBERON_0001537,BTO_0001678,BTO_0001400
LS174T_colon_adenocarcinoma_BI8622,CL,CLO_0007403,CLO_0007769,CL_0011108,CL_0000048,UBERON_0001155,UBERON_0001155,BTO_0001553,BTO_0003303
ME-1_DMSO_6h,CL,CLO_0009847,CLO_0007786,CL_0000763,CL_0000057,UBERON_0000178,UBERON_0000455,-,BTO_0002757
Esophagus,A,-,CLO_0005017,CL_0002252,CL_0002728,UBERON_0001043,UBERON_0001043,BTO_0000959,BTO_0000502
Fetal intestine large,A,-,CLO_0003203,CL_0002253,CL_0002633,UBERON_0000059,UBERON_0002108,BTO_0000706,BTO_0005154
HSMM Skeletal Muscle Myoblasts Cells,CL,CLO_0000809,CLO_0000322,CL_0000056,CL_0000056,UBERON_0005090,UBERON_0014892,-,BTO_0000142
GM18486,CL,CLO_0024943,CLO_0001073,CL_0000236,CL_0000000,UBERON_0000178,UBERON_0000000,-,BTO_0002955
GLC16,CL,-,CLO_0037133,CL_0000082,CL_0002319,UBERON_0002048,UBERON_0002373,-,BTO_0003125
Fibroblast - skin spinal muscular atrophy donor2,CT,-,CLO_0037123,CL_0002620,CL_0000057,UBERON_0001003,UBERON_0000014,BTO_0001255,BTO_0004600
Neural Crest Cells,CT,-,None,CL_0011012,CL_0000031,UBERON_0002342,UBERON_0003087,BTO_0003825,None
hESC,CL,CLO_0037280,CLO_0030009,CL_0002322,CL_0002322,UBERON_0000922,UBERON_0000104,BTO_0001086,BTO_0003247
CLB-BER-Lud,CL,-,CLO_0050881,CL_0000031,CL_0000001,UBERON_0001016,UBERON_0000001,-,BTO_0000001
Endothelial Cells - Lymphatic donor1,CT,-,CLO_0002575,CL_0002138,CL_0002138,UBERON_0001473,UBERON_0001635,BTO_0004167,BTO_0002189
Stromal_placenta_4,CT,-,CLO_0017260,CL_0000499,CL_0002321,UBERON_0001987,UBERON_0001987,-,BTO_0001903
NUT,CL,-,CLO_0031938,CL_0000015,CL_0000750,UBERON_0000473,UBERON_0002367,-,BTO_0003341
Syn_vil_cytoTrophobs_placenta_1,CT,-,CLO_0002543,CL_0000034,CL_0000699,UBERON_0001987,UBERON_0001474,-,BTO_0001323
GM18526,CL,CLO_0024847,CLO_0003685,CL_0000236,CL_NULL,UBERON_0000178,UBERON_NULL,-,BTO_0005725
IMR90_#2,CL,CLO_0006951,CLO_0002838,CL_0002553,CL_0000000,UBERON_0002048,UBERON_0000000,BTO_0001229,BTO_0001335
HFF-Myc,CL,-,CLO_0002530,CL_1001608,CL_0000057,UBERON_0001332,UBERON_0000178,-,BTO_0003207
Fibrob_BCC,CT,-,CLO_0002557,CL_0000057,CL_0000057,UBERON_0002384,UBERON_0002398,BTO_0000452,BTO_0000200
BT-474_breast_invasive_ductal_carcinoma_EGF,CL,CLO_0002042,CLO_0008366,CL_0002327,CL_0002328,UBERON_0000310,UBERON_0000310,BTO_0001932,BTO_0000186
induced pluripotent stem cell derived Neuronal progenitor cell,CT,-,CLO_0021571,CL_0011020,CL_2000044,UBERON_0001016,UBERON_0008897,-,BTO_0004367
HUVEC umbilical vein endothelial,CL,CLO_0004307,CLO_0002682,CL_0002618,CL_0002138,UBERON_0002331,UBERON_0001064,BTO_0001949,BTO_0003214
SK-MEL-239,CL,-,CLO_0007888,CL_0000148,CL_,-,UBERON_,-,BTO_0000719
MCF10CA1a,CL,CLO_0007599,CLO_0008030,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,-,BTO_0002569
ovary adult pool1,A,-,CLO_0007752,-,CL_0000008,UBERON_0000992,UBERON_0000992,BTO_0000975,BTO_0000140
LY4,CL,-,CLO_0050910,CL_0000236,CL_0000192,UBERON_0000178,UBERON_0001420,-,BTO_0000147
Endothelial Cells - Aortic donor3,CT,-,CLO_0002612,CL_0002544,CL_0000115,UBERON_0000947,UBERON_0000948,BTO_0003245,BTO_0000992
Th17-IL-10- Day 5,CT,-,CLO:0000297,CL_0000899,CL:0000895,UBERON_0002405,UBERON:0000000,BTO_0005655,BTO:0000000
adult CD4+CD25hiCD127lo regulatory T cells,CT,-,CLO_0000913,CL_0000815,CL_0000815,UBERON_0002405,UBERON_0000468,-,BTO_0001384
MALME-3,CL,CLO_0007528,CLO_0002714,CL_0002620,CL_,UBERON_0001003,UBERON_,BTO_0004161,BTO_0002663
HUES48 Cells,CL,-,CLO_0007594,CL_0002322,CL_0000000,UBERON_0000922,UBERON_0000000,-,BTO_0004340
GM12873_female_B-cells,CL,CLO_0022835,CLO_0023991,CL_0000236,CL_0000844,UBERON_0000178,UBERON_0000178,-,BTO_0000819
Brain_Substantia_Nigra,A,-,CLO_0050853,CL_0002614,CL_0000187,UBERON_0002038,UBERON_0002037,BTO_0000143,BTO_0000756
Capan1-untreated,CL,CLO_0002197,CLO_0007774,CL_0002079,CL_0000000,UBERON_0000017,UBERON_0000000,BTO_0002744,BTO_0000253
H1 hESC-derived neural progenitor cells_Smad_72hr,CL,-,CLO_0007379,CL_0011020,CL_0000232,UBERON_0000922,UBERON_0004713,-,BTO_0003596
T47D_invasive_ductal_carcinoma_E2,CL,CLO_0009251,CLO_0002593,CL_0002327,CL_0002328,UBERON_0000310,UBERON_0007844,BTO_0001248,BTO_0006309
thymocyte,CT,-,CLO_0000183,CL_0000893,CL_0000895,UBERON_0002370,UBERON_0002370,BTO_0001372,BTO_0000794
LTAD_long_term_androgen_deprivation,-,-,CLO_0000031,-,CL_0000092,-,UBERON_0000014,-,BTO_0000031
HUDEP-2_BCL11AKO,CL,-,CLO_0030001,CL_0000038,CL_0000236,UBERON_0012168,UBERON_0010000,-,BTO_0001904
Whole blood (ribopure) donor090612 donation2,A,-,CLO_0031131,CL_0000988,CL_0000236,UBERON_0000178,UBERON_0013756,-,BTO_0000203
DIPGIV,CT,-,CLO_0051472,CL_0000125,CL_0000003,UBERON_0000955,UBERON_0003403,-,BTO_0006605
Pro-B,CT,-,CLO_0002144,CL_0000826,CL_0000945,UBERON_0002371,UBERON_0001479,BTO_0003104,BTO_0002191
dermal_fibroblasts,CT,-,CLO_0002505,CL_0002551,CL_0002620,UBERON_0002067,UBERON_0002406,BTO_0004419,BTO_0004516
retina,A,-,None,CL_0009004,CL_0000574,UBERON_0000966,UBERON_0000966,BTO_0001175,BTO_0005052
Brain_Putamen_basal_ganglia,A,-,None,CL_0002319,CL_0002105,UBERON_0002420,UBERON_0001872,-,BTO_0001289
MALME3,CL,CLO_0007528,CLO_0003004,CL_0002620,CL_0000000,UBERON_0001003,UBERON_0000000,BTO_0004161,BTO_0000362
TTC549_Doxycycline,CL,-,CLO_0050048,-,CL_0000746,UBERON_0002107,UBERON_0002107,-,BTO_0002854
GM12878 ENCODE,CL,CLO_0022851,CLO_0003679,CL_0000236,CL_0000236,UBERON_0000178,UBERON_0000473,BTO_0006353,BTO_0000995
CA-46_Burkitt_lymphoma,CL,CLO_0002168,CLO_0007762,CL_0000236,CL_0000297,UBERON_0000178,UBERON_0000029,BTO_0000789,BTO_0000254
LREX,CL,-,CLO_0008367,CL_0002231,CL_0000001,UBERON_0002367,UBERON_0002048,-,BTO_0001409
C4-2B_vehicle_24h,CL,CLO_0037116,CLO_0007899,CL_0002231,CL_0000010,UBERON_0002367,UBERON_0015228,BTO_0004959,BTO_0003615
Endothelial Cells - Umbilical vein donor3,CT,-,CLO_0037297,CL_0002618,CL_0000115,UBERON_0002066,UBERON_0002078,BTO_0004296,BTO_0000738
MM001_Primary_Melanoma,CT,-,CLO_0000181,CL_0000148,CL_0002451,UBERON_0001003,UBERON_0002097,-,BTO_0002099
TSU-1621-MT_adult_acute_myeloid_leukemia_ATRA,CL,-,CLO_0050286,CL_0000763,CL_0000765,UBERON_0000178,UBERON_0000178,-,BTO_0000217
NCR-G1,CL,CLO_0051395,CLO_0008000,CL_0000015,CL_0000062,UBERON_0000473,UBERON_0006928,-,BTO_0004047
muscle_of_leg,A,-,CLO_0051857,CL_0000737,CL_0000746,UBERON_0001383,UBERON_0003618,-,BTO_0001379
MCF-7_10Gygamma_5h,CL,CLO_0007606,CLO_0001220,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,BTO_0000093,BTO_0000369
GBM35,CT,CLO_0003456,CLO_0035278,CL_0000125,CL_0000000,UBERON_0000955,UBERON_0000000,-,BTO_0004973
Myeloid_liver_3,CT,-,CLO_0050778,CL_0000763,CL_0000763,UBERON_0002107,UBERON_0002107,BTO_0000906,BTO_0004539
HIT DH5A cells (RBC),-,-,CLO_0033371,-,CL_0000238,-,UBERON_0012168,-,BTO_0004912
Inhib_neur_cerebrum_2,CT,-,CLO_0000151,CL_0000540,CL_0000099,UBERON_0000955,UBERON_0000955,-,BTO_0000338
fetal_prostate_fibroblasts,CT,-,CLO_0050841,CL_1000299,CL_0000691,UBERON_0015130,UBERON_0002367,-,BTO_0001689
22rv1-arvs,CL,CLO_0001200,CLO_0003131,CL_0002231,CL_0002324,UBERON_0002367,UBERON_0000104,BTO_0002999,BTO_0000944
Primary haematopoietic stem cells (HSCs),CT,-,CLO_0000019,CL_0000037,CL_0000037,UBERON_0002371,UBERON_0002048,BTO_0000725,BTO_0005057
H9_Cell_Line,CL,CLO_0003612,CLO_0002453,CL_0000084,CL_0000057,UBERON_0000178,UBERON_0000468,BTO_0001944,BTO_0002988
SF268,CL,CLO_0009902,CLO_0009221,CL_0000127,CL_0000000,UBERON_0000955,UBERON_0000000,BTO_0003772,BTO_0000946
IMR-5_Neuroblastoma,CL,CLO_0006950,CLO_0007636,CL_0000031,CL_0002319,UBERON_0000955,UBERON_0000955,BTO_0005846,BTO_0004261
Fetal_Kidney,A,-,CLO_0050850,CL_1000497,CL_1000488,UBERON_0002113,UBERON_0002978,BTO_0000671,BTO_0000654
HUVEC_Notch1kd_IL1beta,CL,CLO_0004307,CLO_0035743,CL_0002618,CL_0002618,UBERON_0002331,UBERON_0001981,BTO_0001949,BTO_0000850
PFSK-1,CL,CLO_0008425,CLO_0002729,CL_0000057,CL_0000000,UBERON_0000955,UBERON_0000000,-,BTO_0001192
NCI-H2171 cells,CL,CLO_0008060,CLO_0003123,CL_0000082,CL_0000000,UBERON_0002048,UBERON_0000000,BTO_0005978,BTO_0001044
EM CD4+ ab T (PB),CT,-,CLO_0037311,CL_0000624,CL_0000624,UBERON_0000178,UBERON_0000178,-,BTO_0002177
TEX-HIST1H3F-K27I-2-Rx_cells,CL,-,CLO_0002884,CL_0000034,CL_0000057,UBERON_0002371,UBERON_0000468,BTO_0006359,BTO_0000568
hippocampus - adult donor10196,A,-,CLO_0000211,CL_0002319,CL_0000700,UBERON_0000955,UBERON_0001950,BTO_0000601,BTO_0000966
CAL51,CL,CLO_0002185,CLO_0007054,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,BTO_0000945,BTO_0000187
HEK293-FT,CL,CLO_0037237,CLO_0000011,CL_0002518,CL_0000000,UBERON_0002113,UBERON_0000000,BTO_0005029,BTO_0000209
colon fetal donor1,A,-,CLO_0051539,CL_0011108,CL_0009029,UBERON_0001155,UBERON_0001155,BTO_0000269,BTO_0001343
Adrenocortical_adrenal_3,CT,-,CLO_0000238,CL_0002097,CL_0000182,UBERON_0002369,UBERON_0001239,BTO_0005817,BTO_0000117
LY1,CL,-,CLO_0000902,CL_0000236,CL_0000000,UBERON_0000178,UBERON_0000000,-,BTO_0002703
Myeloid_adrenal,CT,-,CLO_0050856,CL_0000763,CL_0000763,UBERON_0002369,UBERON_0001264,BTO_0000906,BTO_0002046
Endothelial Cells - Vein donor2,CT,-,CLO_0002598,CL_0002543,CL_0000115,UBERON_0001638,UBERON_0001394,-,BTO_0000580
FL16,CL,-,CLO_0050749,CL_0000236,CL_0002037,UBERON_0000029,UBERON_0002048,-,BTO_0002099
Bone marrow derived hMSC_d0,CT,-,CLO_0034362,CL_0002540,CL_0000034,UBERON_0002371,UBERON_0002371,-,BTO_0001163
429_Tumor_H3.3K27WT,-,-,CLO_0051455,-,CL_0002322,UBERON_0000955,UBERON_0002396,-,BTO_0000112
SGBS,CT,-,CLO_0007772,CL_0000499,CL_0000232,UBERON_0001013,UBERON_0000468,-,BTO_0003207
mesenchymal stem cell line:Hu5/E18,CL,-,CLO_0001034,CL_0008019,CL_0000134,UBERON_0003104,UBERON_0001066,-,BTO_0002603
carcinoid cell line:NCI-H1770,CL,CLO_0008017,CLO_0003047,CL_1000223,CL_0000000,UBERON_0002048,UBERON_0000000,-,BTO_0005635
MCC26_virus_negative,CL,-,CLO_0054160,CL_0000242,CL_0000000,UBERON_0001003,UBERON_0000000,-,BTO_0006769
HS-SY-2,CL,CLO_0050072,CLO_0017365,CL_0000214,CL_0000000,UBERON_0003668,UBERON_0000000,BTO_0006086,BTO_0001285
Crc Cell,CT,-,CLO_0009401,CL_0011108,CL_0002329,UBERON_0012652,UBERON_0000000,BTO_0001615,BTO_0002688
LNCaP_prostate_carcinoma_RPMIFBS,CL,CLO_0007365,CLO_0002323,CL_0002231,CL_0009048,UBERON_0002367,UBERON_0002367,BTO_0001321,BTO_0000830
MCF7L-TamRimmortalized_breast_epithelial_tamoxifen_resistant_cell_line,CL,-,CLO_0001198,CL_0002327,CL_0002327,UBERON_0000310,UBERON_0000310,-,BTO_0000309
acute myeloid leukemia (FAB M5) cell line:THP-1 (revived),CL,CLO_0009348,CLO_0000235,CL_0000576,CL_0000945,UBERON_0000178,UBERON_0000178,BTO_0001370,BTO_0000324
Arteries_C,A,-,None,-,None,UBERON_0001637,UBERON_0001637,BTO_0000573,BTO:0000223
left ventricle 3y,A,-,None,CL_0002494,None,UBERON_0002084,UBERON_0002084,BTO_0001629,None
NCI-H2009,CL,CLO_0008038,CLO_0008327,CL_0000082,CL_0000000,UBERON_0002048,UBERON_0000000,BTO_0003242,BTO_0001529
spleen,A,-,CLO_0000312,-,CL_0000492,UBERON_0002106,UBERON_0002106,BTO_0001281,BTO_0001314
Renal Glomerular Endothelial Cells donor2,CT,-,CLO_0008003,CL_0002188,CL_0002120,UBERON_0004212,UBERON_0000078,BTO_0004632,BTO_0002296
Aska-BAF47KO1 shCt,-,-,CLO_0054386,CL_0000214,CL_0000057,UBERON_0004905,UBERON_0000104,-,BTO_0002769
SK-N-BE,CL,-,CLO_0007771,CL_0000031,CL_0000000,UBERON_0000955,UBERON_0000000,-,BTO_0000224
round spermatids,CT,-,CLO_0037301,CL_0000018,CL_0000014,UBERON_0000473,UBERON_0000087,BTO_0001274,BTO_0002836
OSK,-,-,CLO_0037308,-,CL_0008001,-,UBERON_0000955,-,BTO_0005519
H3.3K27M-KO_DIPGXIII-c10p5-Rx_R2_cells,-,-,CLO_0051593,-,CL_0000182,UBERON_0000955,UBERON_0000468,-,BTO_0001249
GM10861_female_B-cells,CL,CLO_0024094,CLO_0001066,CL_0000236,CL_0000236,UBERON_0000178,UBERON_0000178,-,BTO_0000819
Smooth Muscle Cells - Umbilical Artery donor3,CT,-,CLO_0014001,CL_0002594,CL_0000192,UBERON_0012615,UBERON_0001550,-,BTO_0001235
HCC70,CL,CLO_0003658,CLO_0003094,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,BTO_0005963,BTO_0006303
SK-BR-3_breast_adenocarcinoma,CL,CLO_0009034,CLO_0008199,CL_0002327,CL_0002329,UBERON_0000310,UBERON_0000310,BTO_0002419,BTO_0000885
HEK293_embryonic_kidney,CL,CLO_0001230,CLO_0003684,CL_0002518,CL_0002551,UBERON_0002113,UBERON_0002113,BTO_0000007,BTO_0000647
