Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
Brain hippocampus middle,A,-,-,neural cell,-,hippocampal formation,hippocampal formation,hippocampus,hippocampus
UCSD_Ovary,A,-,-,-,-,ovary,ovary,ovary,ovary
Skeletal_Muscle_Male,A,-,-,cell of skeletal muscle,-,skeletal muscle tissue,skeletal muscle tissue,skeletal muscle,skeletal muscle
psoas-muscle_3y,A,-,-,striated muscle cell,-,psoas muscle,psoas muscle,psoas,iliopsoas muscle
Artery_Tibial,A,-,-,-,-,tibial artery,tibial artery,artery,artery
Fetal_stomach,A,-,-,-,-,stomach,stomach,stomach,stomach
Brain_Inferior_Temporal_Lobe,A,-,-,neural cell,-,inferior temporal gyrus,inferior temporal gyrus,inferior temporal gyrus,inferior temporal gyrus
small_intestine_2,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
Unknown.6_eye,A,-,-,-,-,eye,eye,eye,eye
thalamus adult donor10252,A,-,-,neural cell,-,,ventral thalamus,thalamus,thalamus
Brain_Cingulate_Gyrus,A,-,-,neural cell,-,cingulate gyrus,cingulate gyrus,cingulate gyrus,cingulate gyrus
appendix adult,A,-,-,epithelial cell of appendix,-,vermiform appendix,vermiform appendix,vermiform appendix,vermiform appendix
Lateral temporal lobe_17T_Young,A,-,-,neural cell,-,temporal lobe,temporal lobe,temporal lobe,temporal lobe
colon adult donor1,A,-,-,colon epithelial cell,-,colon,large intestine,colon,large intestine
small intestine_2,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
Left_Ventricle_adult,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
Artery_Coronary,A,-,-,-,-,coronary artery,coronary artery,coronary artery,coronary artery
pancreas,A,-,-,-,-,pancreas,pancreas,pancreas,pancreas
Circle of Willis_54y,A,-,-,-,-,circle of Willis,cerebral artery,cerebral artery,cerebral artery
left ventricle_LV1200,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
left ventricle_DCM_LV1033,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
transverse colon_54y,A,-,-,-,-,transverse colon,transverse colon,colon transversum,colon transversum
forebrain,A,-,-,neural cell,-,forebrain,telencephalon,forebrain,telencephalon
Fetal adrenal gland,A,-,-,glandular secretory epithelial cell,-,adrenal gland,adrenal gland,adrenal gland,adrenal gland
UCSD_Lung,A,-,-,epithelial cell of lung,-,lung,lung,lung,lung
heart adult pool1,A,-,-,cardiocyte,-,heart,cardiac muscle tissue,myocardium,myocardium
embryonic-kidney,A,-,-,kidney cell,-,embryo,metanephric renal vesicle,embryonic kidney cell line,embryonic kidney cell line
small intestine fetal donor1,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
small intestine 30y,A,-,-,epithelial cell of small intestine,-,small intestine,small intestine,small intestine,small intestine
lung_3y,A,-,-,epithelial cell of lung,-,lung,lung,lung,lung
hippocampus,A,-,-,neural cell,-,brain,dentate gyrus of hippocampal formation,hippocampus,hippocampus
ductus deferens adult,A,-,-,duct epithelial cell,-,vas deferens,muscular coat of vas deferens,vas deferens,vas deferens
stomach_30y,A,-,-,-,-,stomach,stomach,stomach,stomach
brain-prefrontal-cortex,A,-,-,neural cell,-,prefrontal cortex,prefrontal cortex,prefrontal cortex,prefrontal cortex
left ventricle_DCM_LV1290,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
Adrenal_Gland,A,-,-,glandular secretory epithelial cell,-,adrenal gland,adrenal gland,adrenal gland,adrenal gland
Left_ventricle,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
large intestine,A,-,-,epithelial cell of large intestine,-,large intestine,large intestine,large intestine,large intestine
cerebellum - adult donor10196,A,-,-,neural cell,-,cerebellum,cerebellum,cerebellum,cerebellum
spinal cord fetal donor1,A,-,-,neural cell,-,spinal cord,spinal cord,spinal cord,spinal cord
Pancreatic islets,A,-,-,pancreatic endocrine cell,-,islet of Langerhans,islet of Langerhans,pancreatic islet,pancreatic islet
brain_1,A,-,-,neural cell,-,brain,brain,brain,brain
medial frontal gyrus - adult donor10196,A,-,-,neural cell,-,middle frontal gyrus,frontal lobe,middle frontal gyrus,middle frontal gyrus
Brain angular gyrus,A,-,-,neural cell,-,angular gyrus,-,-,-
right ventricle 3y,A,-,-,cardiocyte,-,heart right ventricle,heart right ventricle,right ventricle,right ventricle
adipose-tissue,A,-,-,adipocyte,-,adipose tissue,adipose tissue,adipose tissue,adipose tissue
bladder adult pool1,A,-,-,bladder cell,-,urinary bladder,urinary bladder,bladder,bladder
ascending_aorta,A,-,-,-,-,ascending aorta,ascending aorta,-,aorta thoracica
Rectal_Smooth_Muscle,A,-,-,enteric smooth muscle cell,-,rectum smooth muscle tissue,rectum smooth muscle tissue,smooth muscle,smooth muscle
left ventricle,A,-,-,cardiocyte,-,heart left ventricle,heart left ventricle,left ventricle,left ventricle
hT85_organoid,A,-,-,epithelial cell of pancreas,-,pancreas,-,-,-
Colon_Crypt_3,A,-,-,colon epithelial cell,-,crypt of Lieberkuhn of colon,crypt of Lieberkuhn of colon,colonic mucosa,colonic mucosa
Glomerulus,A,-,-,glomerular cell,-,renal glomerulus,renal glomerulus,renal glomerulus,renal glomerulus
Brain Substantia Nigra,A,-,-,neuron of the substantia nigra,-,substantia nigra,substantia nigra,substantia nigra,substantia nigra
HS-SY-2Monophasic_synovial_sarcoma,CL,RCB2231 cell,-,synovial cell,synovial cell,synovial bursa,limb connective tissue,HS-SY-2 cell,HS-SY-2 cell
22Rv1_delSite4_Clone22/23-F8,CL,22Rv1 cell,22Rv1 cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,CWR22-Rv1 cell,prostate adenocarcinoma cell line
lymphoma malignant hairy B-cell cell line:MLMA,CL,MLMA cell,MLMA cell,B cell,"lymphocyte of B lineage, CD19-positive",blood,lymphoid tissue,-,ML-1 cell
lncaparmo-ar-dht1nm,CL,LNCAP cell,LNCAP cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,LNCaP cell,prostate adenocarcinoma cell line
Loucy,CL,Loucy cell,-,T cell,T cell,blood,venous blood,-,-
TE7_1,CL,TE7 cell,TE7 cell,squamous epithelial cell,squamous epithelial cell,esophagus,esophagus,-,TE-671 cell
A-673-clone-Asp114,CL,A673 cell,A673 cell,muscle cell,malignant cell,muscle structure,supraneural 5 bone,A-673 cell,A-673 cell
small cell gastrointestinal carcinoma cell line:ECC10,CL,RCB0983 cell,-,epithelial cell of stomach,malignant cell,stomach,alimentary part of gastrointestinal system,-,-
H1 hESC-derived neural progenitor cells_Smad_6hr,CL,human embryonic stem cell line cell,human embryonic stem cell line cell,neural progenitor cell,neural progenitor cell,embryo,central nervous system,embryonic stem cell line,embryonic stem cell line
HUCCT1,CL,RCB1960 cell,-,duct epithelial cell,cholangiocyte,bile duct,bile duct,HuCCT-1 cell,HuCCT-1 cell
VCaP_prostate_carcinoma_SH3_DHT,CL,VCaP cell,VCaP cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,VCaP cell,VCaP cell
A-673_clone_Asp114_Ewing_sarcoma,CL,A673 cell,ND13684 cell,muscle cell,-,muscle structure,bone tissue,A-673 cell,A-673 cell
hMSC-TERT,CL,mesenchymal stem cell line cell,mesenchymal stem cell line cell,mesenchymal stem cell,mesenchymal stem cell,bone marrow,-,mesenchymal stem cell,mesenchymal stem cell
LNCaP_prostate_carcinoma_ETOH_SHCTR,CL,LNCAP cell,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,LNCaP cell,LNCaP cell
FLP76_embryonic_kidney,CL,-,-,kidney cell,kidney cell,kidney,metanephric renal vesicle,-,FL-318 cell
HEK293T,CL,HEK293T cell,HEK293T cell,kidney epithelial cell,kidney epithelial cell,kidney,embryonic tissue,HEK-293T cell,HEK-293T cell
GM15510,CL,GM15510 cell,-,B cell,B-lymphoblast,blood,blood,B-lymphoblastoid cell line,B-lymphoblastoid cell line
HeLaS3,CL,HeLa S3 cell,HeLa S3 cell,epithelial cell of cervix,epithelial cell of cervix,uterine cervix,uterine cervix,HeLa-S3 cell,HeLa-S3 cell
mesothelioma cell line:NCI-H28,CL,NCI-H28 cell,NCI-H28 cell,epithelial cell of lung,epithelial cell of lung,lung,mesothelium of pleural cavity,-,NCI-H1628 cell
H9 derived neuronal progenitor cultured cells,CL,-,-,neural progenitor cell,neural progenitor cell,nervous system,central nervous system,embryonic stem cell line,embryonic stem cell line
HeLa-S3_Cervical_Carcinoma,CL,HeLa S3 cell,HeLa S3 cell,epithelial cell of cervix,epithelial cell of cervix,uterine cervix,uterine cervix,HeLa-S3 cell,HeLa-S3 cell
iPS DF 19.11 Cells,CL,human induced pluripotent stem cell line cell,-,pluripotent stem cell,pluripotent stem cell,-,dermis connective tissue,-,-
A549_ethanol_1h,CL,A549 cell,DA01545 cell,epithelial cell of lung,epithelial cell of lung,lung,pulmonary alveolus epithelium,A-549 cell,A549-CR cell
BJ/ET,CL,BJ cell,immortal human foreskin-derived fibroblast cell line cell,foreskin fibroblast,foreskin fibroblast,prepuce of penis,prepuce of penis,BJ cell,BJ cell
A549 DMSO,CL,A549 cell,-,epithelial cell of lung,epithelial cell of lung,lung,pulmonary alveolus epithelium,A-549 cell,A549-CR cell
IMR90_lung_fibroblasts_DMSO,CL,IMR-90 cell,IMR-90 cell,fibroblast of lung,fibroblast of lung,lung,lung,IMR-90 cell,IMR-90 cell
HCT116 TP53-/-_Nutlin3A,CL,HCT 116 cell,-,colon epithelial cell,colon epithelial cell,colon,colorectal mucosa,HCT-116 cell,-
GM18507,CL,GM18507 cell,-,B cell,"lymphocyte of B lineage, CD19-positive",blood,lymphomyeloid tissue,EBV-LCL cell,EBV-LCL cell
HUVECs_TNF0min,CL,HUV-EC-C cell,HUV-EC-C cell,endothelial cell of umbilical vein,endothelial cell of umbilical vein,umbilical cord,umbilical cord,HUVEC cell,umbilical vein endothelial cell line
NB69,CL,RCB0480 cell,-,neuroblast (sensu Vertebrata),neuroblast (sensu Vertebrata),brain,sympathetic nervous system,NB-69 cell,NB-69 cell
PATU8988S_GFP_DOX,CL,PA-TU-8988S cell,PA-TU-8988S cell,epithelial cell of pancreas,epithelial cell of pancreas,pancreas,pancreas,Patu-8988 cell,Patu-8988 cell
COLO320-DM_DMSO,CL,COLO-320 cell,-,colon epithelial cell,-,colon,large intestine,Colo-320 cell,LIM1215 cell
gm12891,CL,GM12891 cell,GM12891 cell,B cell,B-lymphoblast,blood,blood,B-lymphoblastoid cell line,B-lymphoblastoid cell line
293Trex_B4Nflag_7h,CL,HEK293-T-REx cell,HEK293-T-REx cell,kidney epithelial cell,-,kidney,kidney rudiment,T-REx 293 cell,T-REx 293 cell
PANC1_2,CL,PANC-1 cell,-,type B pancreatic cell,type B pancreatic cell,pancreas,pancreas,PANC-1 cell,PANC-1 cell
CHL-1,CL,CHL-1 cell,CHL-1 cell,epidermal melanocyte,epidermal melanocyte,skin epidermis,skin epidermis,CHL-1 cell,CHL-1 cell
hESC-1_Embryonic_stem_cells_WNT3A,CL,Line H1 cell,human embryonic stem cell line cell,embryonic stem cell,embryonic stem cell,embryo,-,hESC cell,hESC cell
FLP76,CL,-,-,kidney cell,-,kidney,-,-,-
iPS-15b,CL,-,GM15155 cell,pluripotent stem cell,pluripotent stem cell,-,-,-,-
MKN28,CL,MKN28 cell,MKN28 cell,epithelial cell of stomach,epithelial cell of stomach,stomach,stomach,MKN-28 cell,MKN-28 cell
MCF10A_low,CL,MCF 10A cell,MCF 10A cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-10A cell,MCF-10A cell
RPMI-8402_T_acute_lymphoblastic_leukemia,CL,RPMI-8402 cell,-,T cell,obsolete T lymphoblast,blood,hematopoietic system,RPMI-8402 cell,RPMI-8402 cell
Kelly_shB4_Res,CL,KELLY cell,KELLY cell,neuroblast (sensu Vertebrata),neuroblast (sensu Vertebrata),brain,sympathetic nervous system,KELLY cell,-
