Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
T47D_invasive_ductal_carcinoma_E2,CL,CLO_0009251,CLO_0000005,CL_0002327,CL_0000001,UBERON_0000310,UBERON_0002040,BTO_0001248,BTO_0000367
thymocyte,CT,-,CLO_0000021,CL_0000893,CL_0000011,UBERON_0002370,UBERON_0000026,BTO_0001372,BTO:0000505
LTAD_long_term_androgen_deprivation,-,-,CLO_0000001,-,CL_0000001,-,UBERON_0001000,-,BTO:0000247
HUDEP-2_BCL11AKO,CL,-,CLO_0000001,CL_0000038,CL:0000001,UBERON_0012168,UBERON:0002105,-,obo:BTO_0001577
Whole blood (ribopure) donor090612 donation2,A,-,CLO_0000001,CL_0000988,CL_0000066,UBERON_0000178,UBERON_0002104,-,BTO:0004052
DIPGIV,CT,-,CLO_0007000,CL_0000125,CL_0000001,UBERON_0000955,UBERON_0001007,-,BTO_0000001
Pro-B,CT,-,CLO_0000034,CL_0000826,CL:0000001,UBERON_0002371,UBERON_0001234,BTO_0003104,BTO:0000001
dermal_fibroblasts,CT,-,CLO_0000063,CL_0002551,CL_0000115,UBERON_0002067,UBERON_0003050,BTO_0004419,BTO:0000196
retina,A,-,CLO_0000023,CL_0009004,CL_0000235,UBERON_0000966,UBERON_0002103,BTO_0001175,BTO_0000053
Brain_Putamen_basal_ganglia,A,-,CLO_0000057,CL_0002319,CL_0000113,UBERON_0002420,UBERON_0002044,-,BTO:0000084
MALME3,CL,CLO_0007528,CLO_0000012,CL_0002620,CL_0000130,UBERON_0001003,UBERON:0000000,BTO_0004161,obo:BTO_0001494
TTC549_Doxycycline,CL,-,CLO_0000001,-,CL:0000001,UBERON_0002107,UBERON:0002385,-,BTO:0005518
GM12878 ENCODE,CL,CLO_0022851,CLO_0000012,CL_0000236,CL:0000001,UBERON_0000178,UBERON:0002048,BTO_0006353,BTO:0001240
CA-46_Burkitt_lymphoma,CL,CLO_0002168,CLO_0000001,CL_0000236,CL_0000001,UBERON_0000178,UBERON:0000015,BTO_0000789,BTO:0000123
LREX,CL,-,CLO_0000100,CL_0002231,CL_0000001,UBERON_0002367,UBERON_0001234,-,BTO:0000785
C4-2B_vehicle_24h,CL,CLO_0037116,CLO_0000010,CL_0002231,CL_0000001,UBERON_0002367,UBERON:0000104,BTO_0004959,obo:BTO_0001614
Endothelial Cells - Umbilical vein donor3,CT,-,CLO_0000057,CL_0002618,CL_0000115,UBERON_0002066,UBERON_0006120,BTO_0004296,BTO:0000298
MM001_Primary_Melanoma,CT,-,CLO_0000052,CL_0000148,CL_0000125,UBERON_0001003,UBERON:0000955,-,BTO:0000115
TSU-1621-MT_adult_acute_myeloid_leukemia_ATRA,CL,-,CLO_0000027,CL_0000763,CL_0000010,UBERON_0000178,UBERON:0001001,-,BTO_0000250
NCR-G1,CL,CLO_0051395,CLO_0000000,CL_0000015,CL:0000000,UBERON_0000473,UBERON:0000000,-,BTO_0000001
muscle_of_leg,A,-,CLO_0000045,CL_0000737,CL_0000125,UBERON_0001383,UBERON_0002018,-,BTO:0000110
MCF-7_10Gygamma_5h,CL,CLO_0007606,CLO_0000075,CL_0002327,CL_0000066,UBERON_0000310,UBERON_0001001,BTO_0000093,BTO:0005970
GBM35,CT,CLO_0003456,CLO_0000001,CL_0000125,CL_000035,UBERON_0000955,UBERON:0000000,-,BTO:0004376
Myeloid_liver_3,CT,-,CLO_0000055,CL_0000763,CL_0000540,UBERON_0002107,UBERON_0002044,BTO_0000906,BTO:0000260
HIT DH5A cells (RBC),-,-,-,-,-,-,-,-,-
Inhib_neur_cerebrum_2,CT,-,CLO_0000001,CL_0000540,CL_0000001,UBERON_0000955,UBERON_0000955,-,BTO:0000201
fetal_prostate_fibroblasts,CT,-,CLO_0000057,CL_1000299,CL_0000123,UBERON_0015130,UBERON_0004721,-,BTO:0000298
22rv1-arvs,CL,CLO_0001200,CLO_0000001,CL_0002231,CL_0000001,UBERON_0002367,UBERON_0001000,BTO_0002999,BTO:0000012
Primary haematopoietic stem cells (HSCs),CT,-,CLO_0000057,CL_0000037,CL:0000235,UBERON_0002371,UBERON:0002390,BTO_0000725,BTO:0000138
H9_Cell_Line,CL,CLO_0003612,CLO_0000001,CL_0000084,CL_0000001,UBERON_0000178,UBERON:0001003,BTO_0001944,BTO_0000227
SF268,CL,CLO_0009902,CLO_0000000,CL_0000127,CL:0000000,UBERON_0000955,UBERON:0000011,BTO_0003772,BTO_0000000
IMR-5_Neuroblastoma,CL,CLO_0006950,CLO_0000001,CL_0000031,CL_0000066,UBERON_0000955,UBERON:0002100,BTO_0005846,BTO:0000160
Fetal_Kidney,A,-,CLO_0000056,CL_1000497,CL_0000012,UBERON_0002113,UBERON_0002103,BTO_0000671,BTO:0000356
HUVEC_Notch1kd_IL1beta,CL,CLO_0004307,CLO_0000178,CL_0002618,CL:0000001,UBERON_0002331,UBERON:0001011,BTO_0001949,BTO:0003072
PFSK-1,CL,CLO_0008425,CLO_0000123,CL_0000057,CL_0000001,UBERON_0000955,UBERON_0002104,-,BTO:0004854
NCI-H2171 cells,CL,CLO_0008060,CLO_0030604,CL_0000082,CL_0000001,UBERON_0002048,UBERON:0001000,BTO_0005978,BTO_0000100
EM CD4+ ab T (PB),CT,-,CLO_0000001,CL_0000624,CL_0000123,UBERON_0000178,-,-,BTO:0000375
TEX-HIST1H3F-K27I-2-Rx_cells,CL,-,CLO_0000012,CL_0000034,CL_0000001,UBERON_0002371,UBERON:0000010,BTO_0006359,BTO:0000123
hippocampus - adult donor10196,A,-,CLO_0000045,CL_0002319,CL_0000120,UBERON_0000955,UBERON_0000955,BTO_0000601,BTO:0000138
CAL51,CL,CLO_0002185,CLO_00005100,CL_0002327,CL_0000001,UBERON_0000310,UBERON:0006510,BTO_0000945,BTO:0002235
HEK293-FT,CL,CLO_0037237,CLO_0000001,CL_0002518,CL_0000001,UBERON_0002113,UBERON:0000019,BTO_0005029,BTO:0000001
colon fetal donor1,A,-,CLO_0007005,CL_0011108,CL_0000001,UBERON_0001155,UBERON_0010026,BTO_0000269,BTO:0000473
Adrenocortical_adrenal_3,CT,-,CLO_0000035,CL_0002097,CL_0000123,UBERON_0002369,UBERON_0001002,BTO_0005817,BTO:0000137
LY1,CL,-,CLO_0001000,CL_0000236,CL_0000123,UBERON_0000178,UBERON:0000461,-,BTO:0000772
Myeloid_adrenal,CT,-,CLO_0000001,CL_0000763,CL_0000231,UBERON_0002369,UBERON_0001005,BTO_0000906,BTO:0000123
Endothelial Cells - Vein donor2,CT,-,CLO_0000102,CL_0002543,CL:0000123,UBERON_0001638,UBERON_0002122,-,BTO:0000130
FL16,CL,-,obo:CLO_0000178,CL_0000236,CL_0000001,UBERON_0000029,UBERON:0005120,-,obo:BTO_0001615
Bone marrow derived hMSC_d0,CT,-,CLO_0000052,CL_0002540,CL_0000010,UBERON_0002371,UBERON_0002398,-,BTO:0004168
429_Tumor_H3.3K27WT,-,-,CLO_0000057,-,CL:0000001,UBERON_0000955,UBERON_0001000,-,BTO:0001573
SGBS,CT,-,CLO_0000001,CL_0000499,CL_0000001,UBERON_0001013,UBERON_0005288,-,BTO:0000274
mesenchymal stem cell line:Hu5/E18,CL,-,CLO_0000023,CL_0008019,CL:0000001,UBERON_0003104,UBERON_0006128,-,BTO:0000012
carcinoid cell line:NCI-H1770,CL,CLO_0008017,CLO_0000123,CL_1000223,CL_0000001,UBERON_0002048,UBERON:0005010,-,BTO:0000198
MCC26_virus_negative,CL,-,CLO_0003022,CL_0000242,CL_0000000,UBERON_0001003,UBERON:0000000,-,BTO_0000421
HS-SY-2,CL,CLO_0050072,-,CL_0000214,CL_0000001,UBERON_0003668,UBERON:0000010,BTO_0006086,BTO_0000175
Crc Cell,CT,-,CLO_0000054,CL_0011108,CL_0000001,UBERON_0012652,UBERON_0002372,BTO_0001615,BTO_0000056
LNCaP_prostate_carcinoma_RPMIFBS,CL,CLO_0007365,CLO_0000012,CL_0002231,CL_0000066,UBERON_0002367,UBERON_0002370,BTO_0001321,BTO:0000365
MCF7L-TamRimmortalized_breast_epithelial_tamoxifen_resistant_cell_line,CL,-,CLO_0000020,CL_0002327,CL_0000120,UBERON_0000310,UBERON_0001000,-,BTO:0000697
acute myeloid leukemia (FAB M5) cell line:THP-1 (revived),CL,CLO_0009348,-,CL_0000576,CL_0000001,UBERON_0000178,-,BTO_0001370,BTO:0000389
Arteries_C,A,-,CLO_0003000,-,CL_0000122,UBERON_0001637,UBERON_0002048,BTO_0000573,BTO:0000779
left ventricle 3y,A,-,CLO_0000241,CL_0002494,CL:0000057,UBERON_0002084,UBERON_0002046,BTO_0001629,BTO:0001629
NCI-H2009,CL,CLO_0008038,CLO_0000000,CL_0000082,CL_0000001,UBERON_0002048,-,BTO_0003242,obo:BTO_0001958
spleen,A,-,CLO_0000063,-,CL_0000120,UBERON_0002106,UBERON_0000021,BTO_0001281,BTO:0000095
Renal Glomerular Endothelial Cells donor2,CT,-,CLO_0000020,CL_0002188,CL_0000091,UBERON_0004212,UBERON:0006105,BTO_0004632,BTO:0000312
Aska-BAF47KO1 shCt,-,-,CLO_0000001,CL_0000214,CL_0000001,UBERON_0004905,UBERON:0000000,-,obo:BTO_0005265
SK-N-BE,CL,-,CLO_0000015,CL_0000031,CL_0000001,UBERON_0000955,UBERON_0001000,-,BTO:0002696
round spermatids,CT,-,CLO_0000012,CL_0000018,CL:0000245,UBERON_0000473,UBERON_0007022,BTO_0001274,BTO:0000364
OSK,-,-,CLO_0000001,-,CL_0000001,-,UBERON_0002395,-,BTO_0000123
H3.3K27M-KO_DIPGXIII-c10p5-Rx_R2_cells,-,-,CLO_0000001,-,CL_0000001,UBERON_0000955,-,-,BTO_0000181
GM10861_female_B-cells,CL,CLO_0024094,CLO_0015911,CL_0000236,CL:0000235,UBERON_0000178,UBERON_0002114,-,BTO:0001522
Smooth Muscle Cells - Umbilical Artery donor3,CT,-,CLO_0000123,CL_0002594,CL_0000300,UBERON_0012615,UBERON_0006120,-,BTO:0000257
HCC70,CL,CLO_0003658,-,CL_0002327,CL_0000001,UBERON_0000310,UBERON_0000021,BTO_0005963,BTO:0005963
SK-BR-3_breast_adenocarcinoma,CL,CLO_0009034,CLO_0000064,CL_0002327,CL_0000066,UBERON_0000310,UBERON_0001001,BTO_0002419,BTO:0000279
HEK293_embryonic_kidney,CL,CLO_0001230,CLO_0000060,CL_0002518,CL:0000001,UBERON_0002113,UBERON_0001003,BTO_0000007,BTO_0000290
