Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
MCF7_Invasive_ductal_breast_carcinoma_TAM,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,macrophage,breast,mammary gland,MCF-7 cell,MCF-7 cell
RPMI 2650,CL,RPMI-2650 cell,-,squamous epithelial cell,squamous epithelial cell,nasal septum,nasal septum,RPMI-2650 cell,nasal squamous cell carcinoma cell line
MCF7_Invasive_ductal_breast_carcinoma_DEX,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-7 cell,MCF-7 cell
OCI-LY3_diffuse_large_B-cell_lymphoma,CL,-,OCI-LY-19 cell,B cell,lymphocyte of B lineage,bone marrow,peripheral lymph node,-,-
KYSE180,CL,KYSE-180 cell,KYSE-150 cell,squamous epithelial cell,squamous epithelial cell,esophagus,esophagus,-,-
SU-DHL-2,CL,-,-,B cell,"lymphocyte of B lineage, CD19-positive",blood,peripheral lymph node,SU-DHL-2 cell,SU-DHL-2 cell
mdamb175vii,CL,MDA-MB-175-VII cell,MDA-MB-175-VII cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MDA-MB-175-VII cell,MDA-MB-175-VII cell
glioblastoma cell line:T98G,CL,T98G cell,-,fibroblast,astrocyte,brain,central nervous system,T-98G cell,T-98G cell
AG10803,CL,AG10803 cell,-,skin fibroblast,skin fibroblast,abdominal cavity,dermis connective tissue,skin fibroblast cell line,skin fibroblast cell line
TTC1240_SMARCB1_K364del,CL,-,-,kidney cell,neoplastic cell,kidney,-,-,TT cell
Tet21N_neuroblastoma,CL,-,ND13708 cell,neuroblast (sensu Vertebrata),malignant cell,nervous system,nervous system,Tet21N cell,Tet21N cell
RWPE1_prostate_epithelial_cells,CL,RWPE-1 cell,RWPE-1 cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,RWPE-1 cell,RWPE-1 cell
OCI-AML-3,CL,OCI-AML3 cell,OCI-AML3 cell,myeloid cell,myeloid cell,blood,hematopoietic tissue,OCI-AML3 cell,OCI-AML3 cell
HuH-6,CL,RCB1367 cell,huH-1 cell,hepatocyte,hepatocyte,liver,liver,HuH-6 cell,HuH-6 cell
SK-N-BE2,CL,SK-N-BE(2) cell,SK-N-BE(2) cell,neuroblast (sensu Vertebrata),neuroblast (sensu Vertebrata),nervous system,bone marrow,SK-N-BE(2) cell,SK-N-BE(2) cell
TTC-1240_Rhabdoid_tumor_of_the_kidney,CL,-,-,kidney cell,malignant cell,kidney,kidney,-,-
Ly4,CL,-,LA-4 cell,B cell,-,blood,-,-,MLO-Y4 cell
CyT49_HE,CL,-,-,embryonic stem cell,embryonic stem cell,embryo,-,-,-
ATN-1,CL,RCB1440 cell,-,T cell,-,blood,-,-,MRN-1 cell
HK-2,CL,HK-2 cell,immortal proximal tubule-derived cell line cell,epithelial cell of proximal tubule,epithelial cell of proximal tubule,proximal tubule,proximal tubule,HK-2 cell,renal proximal tubule epithelium cell line
MDA-MB-157,CL,MDA-MB-157 cell,MDA-MB-157 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MDA-MB-157 cell,MDA-MB-157 cell
Adrenocortical_adrenal_3,CT,-,-,cortical cell of adrenal gland,cortical cell of adrenal gland,adrenal gland,adrenal gland,adrenocortical cell,adrenocortical cell
M0_CB,CT,-,-,macrophage,macrophage,blood,umbilical cord blood,macrophage,macrophage
Acinar_pancreas,CT,-,-,pancreatic acinar cell,pancreatic acinar cell,pancreas,pancreas,pancreatic acinar cell,pancreatic acinar cell
Tumor_3_BCC,CT,-,-,neoplastic cell,basal cell,skin epidermis,skin epidermis,basal cell carcinoma cell,basal cell carcinoma cell
Club-D,CT,-,-,club cell,lung secretory cell,lung,terminal bronchiole,bronchial epithelial cell,bronchial epithelial cell
B lymphoblastoid Cell,CT,-,-,B-lymphoblast,B-lymphoblast,blood,lymphoid system,B-lymphoblastoid cell,B-lymphoblastoid cell
Astrocyte_Oligo_1,CT,-,-,glial cell,-,brain,neural tissue,astroglial cell,astroglial cell
Primary T cells from?peripheral?blood,CT,-,-,T cell,lymphocyte,blood,blood,T-lymphocyte,T-lymphocyte
primaryhepatocyte-gw4064,CT,-,-,hepatocyte,hepatocyte,liver,liver,hepatocyte,hepatocyte
Schwann_heart,CT,-,-,Schwann cell,Schwann cell,heart,cardiac muscle tissue,Schwann cell,Schwann cell
umbilical cord Fibroblast,CT,-,-,fibroblast,fibroblast,umbilical cord,umbilical cord,fibroblast,fibroblast
Myeloid_placenta,CT,-,-,myeloid cell,Hofbauer cell,placenta,placenta,myeloid cell line,bone marrow-derived macrophage
PBMC_Rep1-CD34,CT,-,-,peripheral blood mononuclear cell,"CD34-positive, CD38-negative hematopoietic stem cell",blood,blood,-,culture condition:CD34+ cell
Human Bronchial Epithelial Cell,CT,-,-,bronchial epithelial cell,bronchial epithelial cell,bronchus,bronchus,bronchial epithelial cell,bronchial epithelial cell
NHEK-Epidermal Keratinocyte Primary Cells,CT,-,-,keratinocyte,keratinocyte,skin epidermis,skin epidermis,NHEK cell,keratinocyte
Lens Epithelial Cells donor1,CT,-,-,lens epithelial cell,lens epithelial cell,epithelium of lens,epithelium of lens,-,human lens epithelial cell line
EPC_VB,CT,-,-,adult endothelial progenitor cell,adult endothelial progenitor cell,bone marrow,venous blood,endothelial progenitor cell,endothelial progenitor cell
Matrix_Fibrob_1_G,CT,-,-,fibroblast,fibroblast,connective tissue,connective tissue,fibroblast,fibroblast
non-tamoxifen_EC2,CT,-,-,epithelial cell of uterus,epithelial cell of uterus,endometrium,blood vessel endothelium,endothelial cell,endothelial cell
Fibroblast - Gingival donor1,CT,-,-,fibroblast,fibroblast,gingiva,gingiva,gingival fibroblast,gingival fibroblast
naive_B_VB,CT,-,-,naive B cell,naive B cell,blood,-,-,-
CD4+ cell_UNTREATED,CT,-,-,CD4-positive helper T cell,CD4-positive helper T cell,immune system,-,helper T-lymphocyte,helper T-lymphocyte
AT1_B,CT,-,-,pulmonary alveolar type 1 cell,pulmonary alveolar type 1 cell,alveolus of lung,alveolus of lung,alveolar cell type I,alveolar cell type I
Tracheal Epithelial Cells donor1,CT,-,-,tracheal epithelial cell,tracheal epithelial cell,trachea,trachea,trachea,trachea
peripheral_blood_mononuclear_cells,CT,-,-,peripheral blood mononuclear cell,peripheral blood mononuclear cell,blood,blood,peripheral blood mononuclear cell,peripheral blood mononuclear cell
CD8_T_cells,CT,-,-,"CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",immune system,T cell domain,cytotoxic T-lymphocyte,cytotoxic T-lymphocyte
normal_lung_fibroblasts,CT,-,-,fibroblast of lung,fibroblast of lung,lung,lung,lung fibroblast,lung fibroblast
Treg2_t-infiltrating,CT,-,-,regulatory T cell,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",immune system,tissue,regulatory T-lymphocyte,-
GBM22,CT,GBM cell,-,glial cell,-,brain,cerebral hemisphere,-,glioblastoma multiforme cell line
Primary natural killer cells (from PB),CT,-,-,natural killer cell,natural killer cell,blood,blood,natural killer cell,natural killer cell
ES derived primitive cardiomyocite_day15,CT,-,-,cardiac muscle myoblast,cardiac muscle myoblast,heart,myocardium,cardiomyocyte cell line,cardiomyocyte cell line
Macrophage - monocyte derived donor3,CT,-,-,macrophage,macrophage,blood,blood vasculature,macrophage,macrophage
Foreskin Keratinocyte Primary Cells skin02,CT,-,-,foreskin keratinocyte,foreskin keratinocyte,prepuce of penis,prepuce of penis,foreskin keratinocyte cell line,foreskin keratinocyte cell line
MPAL4_T1_1,CT,-,-,hematopoietic cell,common myeloid progenitor,blood,bone marrow,B-cell acute lymphoblastic leukemia cell,B-cell acute lymphoblastic leukemia cell
Osteoblast Primary Cells,CT,-,-,osteoblast,osteoblast,bone tissue,supraneural bone,osteoblast,osteoblast
Hair Follicle Dermal Papilla Cells donor3,CT,-,-,hair follicle dermal papilla cell,hair follicle dermal papilla cell,hair follicle,dermal papilla,hair follicle dermal papilla cell,hair follicle dermal papilla cell
Intestinal_epithelial_2,CT,-,-,intestinal epithelial cell,intestinal epithelial cell,intestinal epithelium,intestinal epithelium,intestinal cell line,intestinal cell line
Ciliary Epithelial Cells donor1,CT,-,-,ciliated epithelial cell,ciliated epithelial cell,ciliated epithelium,ciliated epithelium,nonpigmented ciliary epithelial cell,nonpigmented ciliary epithelial cell
