Label,Type,CLO_id,CL_id,UBERON_id,BTO_id
Macrophages_GM-CSF_72h,CT,-,CL_0000235,-,BTO_0004732
PATU8988S_GFP_DOX,CL,CLO_0008383,CL_0002079,UBERON_0001264,BTO_0005879
paracentral gyrus adult pool1,A,-,-,UBERON_0007190,BTO_0005602
COLO320-DM_DMSO,CL,-,CLO_1001588,UBERON_0000059,BTO_0001916
Th2,CT,-,CL_0000492,UBERON_0001744,BTO_0001679
Glioblastoma neurosphere cell_HF-3016,CT,-,CLO_0000030,UBERON_0008823,BTO_0006155
NHEK-Epidermal_Keratinocytes,CT,-,CL_0000312,UBERON_0001003,BTO_0000667
Ik6pre-BALL+TET-emptyvector,CT,-,CL_0000817,UBERON_0002371,BTO_0001094
gm12891,CL,CLO_0022859,CL_0017006,UBERON_0001969,BTO_0002062
293Trex_B4Nflag_7h,CL,CLO_0037372,CLO_0002518,UBERON_0005095,BTO_0005238
NH-A astrocyte,CT,-,CL_0000127,UBERON_0001017,BTO_0002600
PANC1_2,CL,-,CL_0000083,UBERON_0007329,BTO_0000304
CHL-1,CL,CLO_0002420,CL_0000148,UBERON_0001003,BTO_0004061
Renal Proximal Tubular Epithelial Cell donor2,CT,-,CL_0002306,UBERON_0005151,BTO_0006154
cervical-cancer_KDM5C,CT,-,CL_1001575,UBERON_0000002,BTO_0000180
hESC-1_Embryonic_stem_cells_WNT3A,CL,CLO_0037280,CL_0002322,-,BTO_0006080
FLP76,CL,-,-,-,-
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells,CT,-,CL_0002540,UBERON_0002371,BTO_0004052
ILC1,CT,-,CL_0001067,-,BTO_0005241
Naive_Treg,CT,-,CL_0002677,UBERON_0001745,-
Lung cancer-derived Cell Lines,CT,-,CL_0000082,UBERON_0000115,BTO_0002057
iPS-15b,CL,CLO_0029922,CL_0002248,-,-
"CD8-positive, alpha-beta T cell",CT,-,CL_0000625,UBERON_0010393,BTO_0000289
MPNST007_PRC2 WT,CT,-,CLO_0002573,UBERON_0002003,BTO_0005316
Excitatory_neur_cerebrum_6,CT,-,CL_0000679,-,BTO_0004102
V457,-,-,-,-,-
Club-A,CT,-,CL_1000272,UBERON_0001955,BTO_0002922
MKN28,CL,CLO_0037142,CL_0002178,UBERON_0001199,BTO_0002381
MCF10A_low,CL,CLO_0037239,CL_0002326,UBERON_0001911,BTO_0001939
fibroblast_of_pulmonary_artery,CT,-,CL_0002557,UBERON_0002012,BTO_0000764
GMP_BM1214,CT,-,CL_0000557,UBERON_0002371,-
body-of-pancreas,A,-,-,UBERON_0001150,BTO_0000988
Glioblastoma Cell Lines,CT,-,CL_0000030,UBERON_0001869,BTO_0001530
RPMI-8402_T_acute_lymphoblastic_leukemia,CL,-,CL_0000230,UBERON_0002390,BTO_0001880
Kelly_shB4_Res,CL,CLO_0007091,CL_0000031,UBERON_0000013,-
CD4_TH1_DMSO,CT,-,CL_0000545,-,BTO_0001678
LS174T_colon_adenocarcinoma_BI8622,CL,CLO_0007393,CLO_1001588,UBERON_0000059,BTO_0001553
ME-1_DMSO_6h,CL,CLO_0000154,CL_0000839,UBERON_0012429,BTO_0001883
Esophagus,A,-,-,UBERON_0001043,BTO_0000959
Fetal intestine large,A,-,-,UBERON_0000059,BTO_0000706
HSMM Skeletal Muscle Myoblasts Cells,CL,-,CL_0000515,UBERON_0001134,BTO_0002662
GM18486,CL,CLO_0024943,B-lymphoblast : <CL_0017006>,UBERON_0000178,BTO_0002062
GLC16,CL,-,CL_1000223,UBERON_0000115,BTO_0002206
Fibroblast - skin spinal muscular atrophy donor2,CT,-,CL_0002620,UBERON_0002097,BTO_0004419
Neural Crest Cells,CT,-,CL_0011012,UBERON_0002342,BTO_0003825
hESC,CL,CLO_0037280,CL_0002322,UBERON_0000087,BTO_0001581
CLB-BER-Lud,CL,-,-,-,BTO_0004309
Endothelial Cells - Lymphatic donor1,CT,-,CL_0002138,UBERON_0002042,BTO_0004167
Stromal_placenta_4,CT,-,CL_2000061,UBERON_0001987,BTO_0003952
NUT,CL,CLO_0036938,CL_0000240,-,BTO_0000297
Syn_vil_cytoTrophobs_placenta_1,CT,-,CL_2000060,UBERON_0001987,BTO_0006119
GM18526,CL,CLO_0024847,CL_0017006,-,BTO_0003335
IMR90_#2,CL,CLO_0006951,CL_0002553,UBERON_0002048,BTO_0001229
HFF-Myc,CL,CLO_0000556,CL_1001608,UBERON_0001471,BTO_0002245
Fibrob_BCC,CT,-,CL_0000057,UBERON_0011272,BTO_0004419
BT-474_breast_invasive_ductal_carcinoma_EGF,CL,CLO_0002042,CL_0000068,UBERON_0001911,BTO_0001932
induced pluripotent stem cell derived Neuronal progenitor cell,CT,-,CL_0011020,UBERON_0001017,BTO_0004771
HUVEC umbilical vein endothelial,CL,CLO_0004307,CL_0002618,UBERON_0002066,BTO_0001520
SK-MEL-239,CL,-,CL_1000458,UBERON_0001003,SK-MEL-110 cell : <BTO_0004994>
MCF10CA1a,CL,CLO_0037239,CL_0002326,UBERON_0001911,BTO_0001939
ovary adult pool1,A,-,-,UBERON_0000992,BTO_0000975
LY4,CL,CLO_0007229,CL_0001200,UBERON_0000029,BTO_0003432
Endothelial Cells - Aortic donor3,CT,-,CL_0002544,UBERON_0000947,BTO_0003245
Th17-IL-10- Day 5,CT,-,CL_0000492,-,BTO_0005655
adult CD4+CD25hiCD127lo regulatory T cells,CT,-,CL_0001047,UBERON_0010393,-
MALME-3,CL,CLO_0003537,CL_0002484,UBERON_0001003,BTO_0004161
HUES48 Cells,CL,CLO_0031879,CL_0002322,UBERON_0000087,-
GM12873_female_B-cells,CL,-,CL_0017006,UBERON_0013756,BTO_0006353
Brain_Substantia_Nigra,A,-,-,UBERON_0001966,BTO_0000143
Capan1-untreated,CL,CLO_0002197,CL_1001433,UBERON_0009970,BTO_0002744
H1 hESC-derived neural progenitor cells_Smad_72hr,CL,CLO_0037280,CL_0011020,UBERON_0001017,BTO_0001581
T47D_invasive_ductal_carcinoma_E2,CL,CLO_0009251,CL_0002326,UBERON_0001911,BTO_0001248
thymocyte,CT,-,CL_0000893,UBERON_0002370,BTO_0001372
LTAD_long_term_androgen_deprivation,-,-,-,-,-
HUDEP-2_BCL11AKO,CL,-,CL_0000038,UBERON_0012168,-
Whole blood (ribopure) donor090612 donation2,A,-,-,UBERON_0013756,BTO_0000553
DIPGIV,CT,-,CL_0000125,UBERON_0002298,BTO_0000526
Pro-B,CT,-,CL_0000826,UBERON_0002371,BTO_0003104
dermal_fibroblasts,CT,-,CL_0002620,UBERON_0002067,BTO_0004419
retina,A,-,-,UBERON_0000966,BTO_0000929
Brain_Putamen_basal_ganglia,A,-,-,UBERON_0010010,BTO_0000212
MALME3,CL,-,CL_0000148,UBERON_0002097,BTO_0004161
TTC549_Doxycycline,CL,-,-,-,-
GM12878 ENCODE,CL,CLO_0022563,CL_0001200,UBERON_0013756,BTO_0006353
CA-46_Burkitt_lymphoma,CL,CLO_0001379,CL_0000844,UBERON_8410053,BTO_0000789
LREX,CL,-,CL_0005020,-,BTO_0003516
C4-2B_vehicle_24h,CL,-,CL_0002231,UBERON_0002367,BTO_0005049
Endothelial Cells - Umbilical vein donor3,CT,-,CL_0002618,UBERON_0002066,BTO_0004296
MM001_Primary_Melanoma,CT,-,CL_0000148,UBERON_0002097,BTO_0000848
TSU-1621-MT_adult_acute_myeloid_leukemia_ATRA,CL,-,CL_0000835,UBERON_0012429,-
NCR-G1,CL,-,-,-,-
muscle_of_leg,A,-,-,UBERON_0001383,BTO_0000722
MCF-7_10Gygamma_5h,CL,CLO_0007606,CL_0002326,UBERON_0001911,BTO_0000093
GBM35,CT,-,CL_0000030,UBERON_0003714,BTO_0002373
Myeloid_liver_3,CT,-,CL_0000763,UBERON_0002107,BTO_0000906
HIT DH5A cells (RBC),-,-,-,-,-
Inhib_neur_cerebrum_2,CT,-,CL_0011005,UBERON_0001893,-
fetal_prostate_fibroblasts,CT,-,CL_1000305,UBERON_0002367,-
22rv1-arvs,CL,CLO_0001200,CL_0002231,UBERON_0002367,BTO_0005936
Primary haematopoietic stem cells (HSCs),CT,-,CL_0000037,UBERON_0002371,BTO_0000725
H9_Cell_Line,CL,-,CL_0002322,UBERON_0000087,BTO_0001581
SF268,CL,-,CLO_0001064,UBERON_0001017,BTO_0005949
IMR-5_Neuroblastoma,CL,-,CL_0002676,UBERON_0000013,BTO_0005846
Fetal_Kidney,A,-,-,UBERON_0005147,BTO_0000671
HUVEC_Notch1kd_IL1beta,CL,CLO_0004307,CL_0000115,UBERON_0002066,BTO_0001520
PFSK-1,CL,-,CL_0011020,UBERON_0001017,BTO_0004259
NCI-H2171 cells,CL,CLO_0008062,CL_1000223,UBERON_0002048,BTO_0005978
EM CD4+ ab T (PB),CT,-,CL_0000905,UBERON_0013756,-
TEX-HIST1H3F-K27I-2-Rx_cells,CL,-,CL_0001064,UBERON_0009571,-
hippocampus - adult donor10196,A,-,-,UBERON_0002421,BTO_0000601
CAL51,CL,CLO_0002185,CL_0002326,UBERON_0001911,BTO_0000945
HEK293-FT,CL,CLO_0037372,CL_0002518,UBERON_0005095,BTO_0005029
colon fetal donor1,A,-,-,UBERON_0000059,BTO_0000706
Adrenocortical_adrenal_3,CT,-,CL_0002097,UBERON_0035827,BTO_0005817
LY1,CL,-,CL_0000844,UBERON_0001744,BTO_0006365
Myeloid_adrenal,CT,-,CL_0001057,UBERON_0002369,BTO_0004732
Endothelial Cells - Vein donor2,CT,-,CL_1000414,UBERON_0003920,BTO_0004759
FL16,CL,CLO_0003359,-,-,BTO_0002519
Bone marrow derived hMSC_d0,CT,-,CL_0002540,UBERON_0002371,BTO_0002668
429_Tumor_H3.3K27WT,-,-,-,-,-
SGBS,CT,-,CLO_0000136,UBERON_0002190,BTO_0003452
mesenchymal stem cell line:Hu5/E18,CL,-,CL_0000134,-,BTO_0004444
carcinoid cell line:NCI-H1770,CL,CLO_0008017,CL_1000223,UBERON_0002185,BTO_0005425
MCC26_virus_negative,CL,CLO_0002630,CLO_0001064,UBERON_0002097,BTO_0006019
HS-SY-2,CL,-,CL_0002674,-,BTO_0006086
Crc Cell,CT,-,CL_0001064,UBERON_0013067,BTO_0001615
LNCaP_prostate_carcinoma_RPMIFBS,CL,-,CL_0002231,UBERON_0002367,BTO_0001321
MCF7L-TamRimmortalized_breast_epithelial_tamoxifen_resistant_cell_line,CL,-,CL_4033058,UBERON_0001911,BTO_0005192
acute myeloid leukemia (FAB M5) cell line:THP-1 (revived),CL,CLO_0009348,CL_0000576,UBERON_0013756,BTO_0001370
Arteries_C,A,-,-,UBERON_0001637,BTO_0000573
left ventricle 3y,A,-,-,UBERON_0002084,BTO_0001629
NCI-H2009,CL,-,CL_0000082,UBERON_0000115,BTO_0003242
spleen,A,-,-,UBERON_0002106,BTO_0001281
Renal Glomerular Endothelial Cells donor2,CT,-,CL_0002188,UBERON_0000074,BTO_0004632
Aska-BAF47KO1 shCt,-,-,-,-,-
SK-N-BE,CL,CLO_0000052,CL_0000031,UBERON_0000013,BTO_0000932
round spermatids,CT,-,CL_0000018,UBERON_0001343,BTO_0001274
OSK,-,-,-,-,-
H3.3K27M-KO_DIPGXIII-c10p5-Rx_R2_cells,-,-,-,-,-
GM10861_female_B-cells,CL,-,CL_0001200,UBERON_0012429,BTO_0002062
Smooth Muscle Cells - Umbilical Artery donor3,CT,-,CL_0000192,UBERON_0001310,BTO_0004578
HCC70,CL,CLO_0003658,CL_0002327,UBERON_0011950,BTO_0005963
SK-BR-3_breast_adenocarcinoma,CL,-,CL_0002326,UBERON_0001911,BTO_0002419
HEK293_embryonic_kidney,CL,CLO_0037346,CL_0002518,UBERON_0005291,BTO_0000007
IMS-M2,CL,-,-,-,-
LTED_breast_cancer,CT,-,CL_0002326,UBERON_0001911,BTO_0000356
22rv1,CL,CLO_0001200,CL_0002231,UBERON_0002367,BTO_0005936
MCF10A-ER-Src,CL,CLO_0037239,CL_0002326,UBERON_0001911,BTO_0001939
Foreskin melanocyte,CT,-,CL_1000458,UBERON_0001471,BTO_0005457
Kelly_vehicle,CL,CLO_0000930,-,UBERON_0001236,BTO_0000932
Monomac6_CTRL,CL,CLO_0007588,CL_0000576,UBERON_0002390,BTO_0002333
osteosarcoma cell line:HS-Os-1,CL,CLO_0009454,CLO_0001064,UBERON_0002481,BTO_0005167
7250-empty,-,-,-,-,-
MyoFibrob_B,CT,-,CL_0000186,UBERON_2001186,BTO_0001946
Caudate_nucleus,A,-,-,UBERON_0001873,BTO_0000211
NT2,-,-,-,-,-
primary-glioblastoma,CT,-,CL_0000030,UBERON_0001869,BTO_0002373
squamous cell carcinoma cell line:EC-GI-10,CL,-,CL_0001063,UBERON_0001043,BTO_0005302
Capillary_1_E,CT,-,CL_0002144,UBERON_0001982,BTO_0004956
NA-A_astrocytes,-,-,-,-,-
FX52 iPSCs dC-T,CT,-,CL_0002248,-,BTO_0006078
MSTO,CL,-,CL_1000491,UBERON_0003390,BTO_0002425
DMS 144,CL,CLO_0035396,CL_0000808,UBERON_0005694,DMS-114 cell : <BTO_0004813>
LCL_lymphoblastoid_cell_line_ETOH,CT,-,CL_0001200,UBERON_0001969,BTO_0002062
GM12004,CL,-,CL_0017006,UBERON_0000178,BTO_0002062
Human Embryos,CT,-,CL_0002322,UBERON_0000922,BTO_0000669
P493-6_B-cell_lymphoma_SHCTR,CL,-,CL_0001200,UBERON_0001744,BTO_0003291
Peripheral_Blood_Mononuclear_Primary_Cells,CT,-,CL_2000001,UBERON_0013756,BTO_0001025
Esophagus Squamous Epithelium,A,-,-,UBERON_0001976,BTO_0003635
MCF-7_PMA,CL,CLO_0007606,CL_0002326,UBERON_0001911,BTO_0000093
Syn_vil_cytoTrophobs_1,CT,-,CL_0000523,UBERON_0007106,BTO_0006119
TC71_SA2 KO,CL,CLO_0009879,CL_0001064,UBERON_0004755,BTO_0004785
bipolar neuron,CT,-,CL_0000103,UBERON_0001997,BTO_0004185
LM2-4175,CL,-,CL_0002327,UBERON_0001911,BTO_0004955
VCaP_and_LTAD_cells,CL,CLO_0000766,CL_0002231,UBERON_0002367,BTO_0005049
B_B,CT,-,CL_0000945,-,BTO_0000776
Vascular_endothelial_spleen,CT,-,CL_0002651,UBERON_0036301,BTO_0001854
MCF_10A,CL,CLO_0037239,CL_0002326,UBERON_0001911,BTO_0001939
HS-ES-2R,CL,CLO_0002947,CL_2000064,UBERON_0000992,BTO_0000811
Jurkat ZBTB1 KO_ZBTB1_expressing FLAG-ZBTB1_Asparagine deprivation,CL,CLO_0007044,CL_0000542,UBERON_0002390,BTO_0001948
Neurons donor2,CT,-,CL_0000540,UBERON_0003714,BTO_0000938
prostate carcinoma epithelial cell line 22Rv1,CL,CLO_0001200,CL_0002231,UBERON_0002367,BTO_0005936
EEB,CL,CLO_0051455,CLO_0005003,UBERON_0005497,-
HEMn,CT,-,CL_2000000,UBERON_0001003,BTO_0000847
HTOA,CL,CLO_0003586,CLO_0000216,-,BTO_0005987
iPS_20b,CL,-,CL_0002248,-,BTO_0006078
LX-2_hepatic_stellate_cells_TGFB1,CL,CLO_0007170,CL_0000632,UBERON_0002107,BTO_0003516
GM12878,CL,-,CL_0017006,UBERON_0000178,BTO_0003335
t47d,CL,CLO_0009251,CL_0002326,UBERON_0008367,BTO_0001912
NCI-H1299_EGFP-NEO_reporter_cells_SAHA,CL,-,CL_0001064,UBERON_0002048,BTO_0002552
DLD-1_colon_adenocarcinoma,CL,CLO_0002785,CL_0011108,UBERON_0000059,BTO_0005484
GIST-T1_Gastrointestinal_stromal_tumor,CL,CLO_0003491,-,UBERON_0001161,BTO_0006566
M0_CB,CT,-,CL_0000235,UBERON_0012168,BTO_0000801
Fetal_Muscle_Trunk,A,-,-,UBERON_0001774,BTO_0001103
Colo320,CL,-,CL_1001588,UBERON_0000397,BTO_0001914
CD34_cells_ERYTH_BIO,CT,-,CL_0002003,-,BTO_0004911
DKO1,CL,-,-,-,-
CD8 Naive 8pool,CT,-,CL_0000898,UBERON_0013756,-
V1051,-,-,-,-,-
CC-LP-1_intrahepatic_cholangiocarcinoma,CL,CLO_0037448,CL_0001064,UBERON_0003704,BTO_0002933
Vascular Endothelial Cell,CT,-,CL_0000115,UBERON_0004638,BTO_0001854
Mesothelial Cells donor1,CT,-,CL_0000077,UBERON_0003390,BTO_0002423
iPSCs,CL,CLO_0037308,CL_0002248,-,BTO_0006078
MCF10A,CL,CLO_0037239,CL_0002327,UBERON_0001911,BTO_0001939
HC11 Mammary Epithelium,-,-,-,-,-
Monocyte_2,CT,-,CL_0000576,UBERON_0001009,BTO_0000876
NCI-H226,CL,CLO_0008068,CL_0000076,UBERON_0000115,BTO_0003008
MiaPaca2,CL,CLO_0007726,CL_1001433,UBERON_0007329,-
COLO320HSR_DMSO,CL,CLO_0002547,CLO_1001588,UBERON_0000397,BTO_0002047
Preadipocyte - subcutaneous donor2,CT,-,CL_0002334,UBERON_0002190,BTO_0001107
T24_2_low,CL,CLO_0009245,CL_0000731,UBERON_0004645,BTO_0002868
GBM,CT,-,CL_0000030,UBERON_0001017,BTO_0000527
Pre-B,CT,-,CL_0000955,UBERON_0002371,BTO_0001133
Induced Pluripotent Stem Cells,CT,-,CL_0002248,-,BTO_0006078
H-EMC-SS,CL,CLO_0003701,-,UBERON_0003058,BTO_0003517
Skin_Sun_Exposed_Lower_leg,A,-,-,UBERON_0004264,BTO_0000488
Lens Epithelial Cells donor3,CT,-,CL_0002224,UBERON_0005614,BTO_0003072
Im-GCT-3504_G34W,CT,-,CL_0001063,UBERON_0004406,BTO_0003766
CD8_Naive_Primary_Cells,CT,-,CL_0000900,UBERON_0001969,BTO_0005871
HEL-R,CL,CLO_0003679,CL_0001066,UBERON_0012429,BTO_0000565
TGBC2TKB,CL,-,CL_1001592,UBERON_0002110,BTO_0004112
MPAL5_T1,CT,-,CL_0000230,UBERON_0002371,BTO_0001106
CD14+ monocytes - treated with IFN + N-hexane donor2,CT,-,CL_0001054,UBERON_0013756,BTO_0000876
MDA-BoM-1833,CL,-,CL_0002326,UBERON_0001911,BTO_0000815
Fibroblast - Cardiac donor3,CT,-,CL_2000066,UBERON_0000948,BTO_0003093
CD19donorA,CT,-,CL_0001201,UBERON_0013756,BTO_0000776
HUES64 Cells,CL,-,CL_0002322,UBERON_0000087,-
epididymis adult,A,-,-,UBERON_0001301,BTO_0000408
H3.3K27M_XHSJ019-X1-1-Rx_xenograft,-,-,-,-,-
SH-SY5Y_neuroblastoma_OVERMYCN_48H,CL,-,-,UBERON_0000013,BTO_0000793
EndoC-BH1_SE,CL,-,CL_0000168,UBERON_0000006,-
CD4-pos,CT,-,CL_0001043,-,BTO_0002417
SH-SY5Y_neuroblastoma_OVERMYCN_24H,CL,-,CL_0000338,UBERON_0001236,BTO_0000793
liposarcoma cell line:SW 872,CL,-,CLO_0001064,UBERON_0001013,BTO_0003743
CD3,CT,-,CL_0000542,UBERON_0001744,BTO_0000782
High-grade serous ovarian cancer,CT,-,CL_2000064,UBERON_0000992,BTO_0002729
hepatocyte,CT,-,CL_0000182,UBERON_0002107,BTO_0000575
U87_EGFRvIII_shFOXG1_FBS,CL,CLO_0009464,CLO_0001064,UBERON_0001017,BTO_0002036
SK-MEL-5,CL,CLO_0009047,CL_0000148,UBERON_0002097,BTO_0002134
tamoxifen_EC5,CT,-,CL_0000115,UBERON_0004638,BTO_0001176
HBE,CT,-,CL_0002328,UBERON_0002031,BTO_0002922
Pancreatic_tumor_associated_fibroblasts_B009B_untreated,CT,-,CL_0000057,UBERON_0001264,BTO_0000452
Jurkat_WT,CL,CLO_0000012,CL_0000895,UBERON_0002390,BTO_0002504
Normal Human Astrocyte,CT,-,CL_0000127,UBERON_0003714,BTO_0000099
GM12868_female_B-cells,CL,-,CL_0000945,UBERON_0013756,BTO_0002062
Endothelial Cells - Microvascular donor1,CT,-,CL_2000008,UBERON_0008339,BTO_0003123
THP-1_acute_monocytic_leukemia_CAL,CL,CLO_0009348,CL_0002393,UBERON_0000178,BTO_0001370
Skeletal Muscle Cells donor5,CT,-,CL_0000188,UBERON_0001134,BTO_0004392
EX_cerebrum_7,CT,-,CL_0000679,-,BTO_0000938
Pericytes donor2,CT,-,CL_0000669,UBERON_0008339,BTO_0002441
Endothelial Cells - Thoracic donor1,CT,-,CL_0000115,UBERON_0005482,BTO_0001176
Antigen_presenting_thymus,CT,-,CL_0000941,UBERON_0002370,BTO_0004564
Acinar_pancreas,CT,-,CL_0002064,UBERON_0001264,BTO_0000028
CNCC,CT,-,CL_0000008,UBERON_0003099,BTO_0003825
HSSY2 shCt,CL,CLO_0036938,CL_0002301,UBERON_0002018,BTO_0006384
MCF7_Invasive_ductal_breast_carcinoma_PROG,CL,CLO_0007606,CL_0002327,UBERON_0008367,BTO_0000093
CAMA1 ER+/FGFR1-amplified,CL,CLO_0002194,CL_4033058,UBERON_0001911,BTO_0005022
Sympathoblasts_adrenal,CT,-,CL_0002676,UBERON_0001236,BTO_0003825
Thymocytes_thymus_0,CT,-,CL_0000893,UBERON_0002370,BTO_0001372
left ventricle_DCM_LV1433,A,-,-,UBERON_0002084,BTO_0001629
Medulloblastoma Cell Lines,CT,-,CL_0001031,UBERON_0004002,BTO_0001359
Fetal liver,A,-,-,UBERON_0003894,BTO_0000759
CD4+ T Cells donor1,CT,-,CL_0001043,UBERON_0013756,BTO_0002417
PLC\PRF\5,CL,CLO_0008458,CL_0000182,UBERON_0002107,BTO_0003492
retina adult pool1,A,-,-,UBERON_0000966,BTO_0001175
HUVEC_Umbilical_Vein_Endothelial_Cells,CL,CLO_0004306,CL_1000414,UBERON_0002066,BTO_0004296
MV-4-11,CL,-,CL_0000763,UBERON_0013756,BTO_0001883
Fetal Brain Male,A,-,-,UBERON_0000955,BTO_0000142
U251,CL,CLO_0009456,CL_0000127,UBERON_0001017,BTO_0002035
Vascular_endothelial_adrenal,CT,-,CL_0002097,UBERON_0002369,BTO_0000047
pulmonary arterial smooth muscle cells_PAH2_sictrl,CT,-,CL_0002591,UBERON_0002012,BTO_0003336
COLO-829_melanoma,CL,-,CL_0000148,UBERON_0001003,-
VentricleRight,A,-,-,UBERON_0002080,BTO_0001630
HUDEP-2_LRFKO,CL,CLO_0036933,CL_0000038,UBERON_0012168,BTO_0001209
T_D,CL,CLO_0009251,CL_0000084,-,-
LHSAR_prostate_epithelial_cells_HOXB13,CL,-,CL_0002231,UBERON_0002367,-
Club-C,CT,-,CL_1000272,UBERON_0001958,BTO_0003659
SHEP with tetracycline inducible MYC_DOX_2HR,CL,CLO_0000930,CL_0002676,UBERON_0001236,BTO_0000932
Kidney_cortex,A,-,-,UBERON_0001225,BTO_0001166
H3.3K27M_Tumor-derived cell-line_G477p6_cells,-,-,-,-,-
GMP_BM0828,CT,-,CL_0000557,UBERON_0002371,BTO_0004732
Ca9-22,CL,-,CL_0000076,UBERON_0011601,BTO_0005204
GIST-48B,CL,CLO_0036938,CL_0001063,UBERON_0004808,BTO_0004111
Hilar lymph node,A,-,-,UBERON_0035764,BTO_0000784
liver,A,-,-,UBERON_0002107,BTO_0000759
GICAN,CL,CLO_0029743,-,-,-
UM-RC-6,CL,-,CL_0002584,UBERON_0006853,BTO_0003194
HCC70_XY018,CL,CLO_0003658,CL_0002327,UBERON_0001911,BTO_0005963
UO-31,CL,-,CL_0002584,UBERON_0002113,BTO_0004234
H3396_breast_carcinoma_ETOH,CL,CLO_0003600,CL_0002326,UBERON_0001911,BTO_0005772
GM19238,CL,-,CL_0017006,UBERON_0002390,BTO_0002062
PB1022_mono_singles,CT,-,CL_0000576,UBERON_0013756,BTO_0000876
